,_year,_team,_conference,_division,_total,_conference_games,_home_games,_away_games,discriminator
97,2014,Temple,American Athletic,,"[{'games': 12, 'losses': 6, 'ties': 0, 'wins': 6}]","[{'games': 8, 'losses': 4, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
98,2014,Tennessee,SEC,East,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 3, 'ties': 0, 'wins': 4}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
99,2014,Texas,Big 12,,"[{'games': 13, 'losses': 7, 'ties': 0, 'wins': 6}]","[{'games': 9, 'losses': 4, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 4, 'losses': 1, 'ties': 0, 'wins': 3}]",
100,2014,Texas A&M,SEC,West,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 5, 'losses': 2, 'ties': 0, 'wins': 3}]",
101,2014,Texas State,Sun Belt,,"[{'games': 12, 'losses': 5, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]",
102,2014,Texas Tech,Big 12,,"[{'games': 12, 'losses': 8, 'ties': 0, 'wins': 4}]","[{'games': 9, 'losses': 7, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
103,2014,Toledo,Mid-American,West,"[{'games': 13, 'losses': 4, 'ties': 0, 'wins': 9}]","[{'games': 8, 'losses': 1, 'ties': 0, 'wins': 7}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
104,2014,Troy,Sun Belt,,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
105,2014,Tulane,American Athletic,,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 6, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
106,2014,Tulsa,American Athletic,,"[{'games': 12, 'losses': 10, 'ties': 0, 'wins': 2}]","[{'games': 8, 'losses': 6, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 6, 'ties': 0, 'wins': 0}]",
107,2014,UAB,Conference USA,East,"[{'games': 12, 'losses': 6, 'ties': 0, 'wins': 6}]","[{'games': 8, 'losses': 4, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
108,2014,UCF,American Athletic,,"[{'games': 13, 'losses': 4, 'ties': 0, 'wins': 9}]","[{'games': 8, 'losses': 1, 'ties': 0, 'wins': 7}]","[{'games': 6, 'losses': 0, 'ties': 0, 'wins': 6}]","[{'games': 5, 'losses': 2, 'ties': 0, 'wins': 3}]",
109,2014,UCLA,Pac-12,South,"[{'games': 13, 'losses': 3, 'ties': 0, 'wins': 10}]","[{'games': 9, 'losses': 3, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 5, 'losses': 0, 'ties': 0, 'wins': 5}]",
110,2014,UMass,Mid-American,East,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
111,2014,UNLV,Mountain West,West,"[{'games': 13, 'losses': 11, 'ties': 0, 'wins': 2}]","[{'games': 8, 'losses': 7, 'ties': 0, 'wins': 1}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]","[{'games': 7, 'losses': 7, 'ties': 0, 'wins': 0}]",
112,2014,USC,Pac-12,South,"[{'games': 13, 'losses': 4, 'ties': 0, 'wins': 9}]","[{'games': 9, 'losses': 3, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]",
113,2014,Utah,Pac-12,South,"[{'games': 13, 'losses': 4, 'ties': 0, 'wins': 9}]","[{'games': 9, 'losses': 4, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]",
114,2014,Utah State,Mountain West,Mountain,"[{'games': 14, 'losses': 4, 'ties': 0, 'wins': 10}]","[{'games': 8, 'losses': 2, 'ties': 0, 'wins': 6}]","[{'games': 6, 'losses': 0, 'ties': 0, 'wins': 6}]","[{'games': 7, 'losses': 4, 'ties': 0, 'wins': 3}]",
115,2014,UTEP,Conference USA,West,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 3, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]",
116,2014,UT San Antonio,Conference USA,West,"[{'games': 12, 'losses': 8, 'ties': 0, 'wins': 4}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
117,2014,Vanderbilt,SEC,East,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 8, 'ties': 0, 'wins': 0}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 4, 'losses': 4, 'ties': 0, 'wins': 0}]",
118,2014,Virginia,ACC,Coastal,"[{'games': 12, 'losses': 7, 'ties': 0, 'wins': 5}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 2, 'ties': 0, 'wins': 5}]","[{'games': 5, 'losses': 5, 'ties': 0, 'wins': 0}]",
119,2014,Virginia Tech,ACC,Coastal,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 8, 'losses': 5, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 4, 'ties': 0, 'wins': 3}]","[{'games': 5, 'losses': 2, 'ties': 0, 'wins': 3}]",
120,2014,Wake Forest,ACC,Atlantic,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 8, 'losses': 7, 'ties': 0, 'wins': 1}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 6, 'ties': 0, 'wins': 0}]",
121,2014,Washington,Pac-12,North,"[{'games': 14, 'losses': 6, 'ties': 0, 'wins': 8}]","[{'games': 9, 'losses': 5, 'ties': 0, 'wins': 4}]","[{'games': 7, 'losses': 3, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 2, 'ties': 0, 'wins': 4}]",
122,2014,Washington State,Pac-12,North,"[{'games': 12, 'losses': 9, 'ties': 0, 'wins': 3}]","[{'games': 9, 'losses': 7, 'ties': 0, 'wins': 2}]","[{'games': 7, 'losses': 6, 'ties': 0, 'wins': 1}]","[{'games': 5, 'losses': 3, 'ties': 0, 'wins': 2}]",
123,2014,Western Kentucky,Conference USA,East,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 4, 'ties': 0, 'wins': 4}]","[{'games': 6, 'losses': 1, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 4, 'ties': 0, 'wins': 2}]",
124,2014,Western Michigan,Mid-American,West,"[{'games': 13, 'losses': 5, 'ties': 0, 'wins': 8}]","[{'games': 8, 'losses': 2, 'ties': 0, 'wins': 6}]","[{'games': 5, 'losses': 2, 'ties': 0, 'wins': 3}]","[{'games': 7, 'losses': 2, 'ties': 0, 'wins': 5}]",
125,2014,West Virginia,Big 12,,"[{'games': 13, 'losses': 6, 'ties': 0, 'wins': 7}]","[{'games': 9, 'losses': 4, 'ties': 0, 'wins': 5}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 5, 'losses': 1, 'ties': 0, 'wins': 4}]",
126,2014,Wisconsin,Big Ten,West,"[{'games': 14, 'losses': 3, 'ties': 0, 'wins': 11}]","[{'games': 9, 'losses': 2, 'ties': 0, 'wins': 7}]","[{'games': 7, 'losses': 0, 'ties': 0, 'wins': 7}]","[{'games': 4, 'losses': 1, 'ties': 0, 'wins': 3}]",
127,2014,Wyoming,Mountain West,Mountain,"[{'games': 12, 'losses': 8, 'ties': 0, 'wins': 4}]","[{'games': 8, 'losses': 6, 'ties': 0, 'wins': 2}]","[{'games': 6, 'losses': 3, 'ties': 0, 'wins': 3}]","[{'games': 6, 'losses': 5, 'ties': 0, 'wins': 1}]",
