Rank,Team,Record,SoS,SoS Rank,ELO,Change
62,Brigham Young,6-5,60.25,54,1517.65,8
63,San Diego St,7-4,65.833,77,1517.31,-8
64,Virginia,7-5,69.154,94,1516.16,-23
65,Nevada,7-4,72.25,106,1516.11,4
66,Louisiana Tech,7-4,70.917,102,1510.99,-7
67,Northern Illinois,7-5,61.615,61,1502.61,-19
68,Kansas St,5-6,59.5,52,1500.35,15
69,Louisiana-Lafayette,6-5,65.75,75,1498.19,9
70,Florida Atlantic,5-6,55.5,28,1497.6,-4
71,Arizona,5-6,64.417,68,1496.78,-11
72,Maryland,5-6,52.5,17,1494.57,0
73,Southern Cal,5-6,59.5,51,1493.09,-12
74,Southern Miss,5-5,69.455,96,1491.1,7
75,California,6-4,66.182,79,1488.94,2
76,Vanderbilt,5-6,52.083,14,1487.48,12
77,South Florida,7-5,68.462,91,1484.04,-15
78,Tulane,5-6,60.333,55,1483.69,-11
79,Texas Tech,5-6,54.25,24,1483.09,-11
80,Western Michigan,7-5,68.385,90,1481.8,10
81,Air Force,5-7,67.462,86,1479.7,-1
82,Wyoming,5-6,59.083,46,1478.82,12
83,TCU,5-6,53.5,21,1478.22,9
84,Louisiana-Monroe,6-5,73.583,109,1478.19,-11
85,Tennessee,5-6,49.167,7,1471.87,-9
86,Indiana,5-6,49.417,8,1470.68,-4
87,Minnesota,5-6,53.583,22,1470.19,-8
88,Florida St,5-6,55.167,27,1469.49,3
89,Nebraska,4-8,49.154,6,1467.83,4
90,Hawai`i,7-5,72.923,108,1463.8,6
91,SMU,5-6,53.333,20,1462.28,-7
92,Baylor,5-6,56.333,32,1456.4,-5
93,Wake Forest,5-6,56.417,33,1455.91,-7
94,Colorado,5-6,65.833,78,1452.74,-5
95,Virginia Tech,5-6,59.083,45,1447.86,0
96,Mississippi,5-7,59.231,47,1440.25,-11
97,UCLA,3-8,39.417,1,1425.93,7
98,Navy,3-8,51.583,11,1413.04,13
99,Illinois,4-7,68.5,92,1410.0,-1
100,Old Dominion,4-7,75.833,116,1406.52,7
101,Coastal Carolina,5-7,64.769,70,1405.71,-4
102,UNC-Charlotte,4-7,65.75,76,1403.58,-1
103,Texas St-San Marcos,3-8,79.5,122,1402.66,0
104,East Carolina,3-8,60.833,56,1402.39,6
105,Kansas,3-9,63.538,67,1400.11,-5
106,North Carolina,2-8,61.909,64,1399.25,7
107,New Mexico,3-8,67.333,84,1396.1,-5
108,Akron,4-7,65.333,72,1391.91,-9
109,Western Kentucky,2-9,77.917,119,1390.38,11
110,Massachusetts,4-8,67.692,87,1388.3,-2
111,UNLV,3-8,70.667,100,1386.26,-6
112,Texas-San Antonio,3-8,67.833,88,1383.36,-3
113,Ball St,4-8,69.538,97,1379.78,1
114,Tulsa,2-9,64.667,69,1377.25,-2
115,Arkansas,2-10,53.231,19,1370.48,-9
116,Colorado St,3-9,72.0,104,1368.58,-1
117,Georgia St,2-9,58.5,42,1367.67,0
118,Bowling Green,3-9,67.231,82,1367.22,7
119,South Alabama,3-9,58.462,40,1365.01,4
120,New Mexico St,3-8,78.583,121,1360.43,-2
121,Louisville,2-9,51.833,12,1357.13,-2
122,San José St,1-10,61.917,65,1355.38,-1
123,Kent St,2-10,67.923,89,1354.37,-7
124,Rutgers,1-10,48.417,4,1353.62,0
125,Oregon St,2-10,52.385,16,1338.08,-3
126,Central Michigan,1-11,72.231,105,1333.1,1
127,UTEP,1-10,81.333,124,1327.09,-1
128,Rice,1-11,65.462,74,1311.97,1
129,Connecticut,1-10,58.917,43,1308.25,-1
