Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Marshall,1520.81,1523.71,1523.71,1502.66,1512.01,1491.98,1510.74,1533.83,1533.81,1524.15,1539.44,1553.12,1563.28,1530.97,1550.51,1539.97,1539.97
North Carolina,1476.72,1452.49,1452.49,1464.23,1443.4,1443.4,1434.69,1427.23,1415.82,1402.02,1392.67,1399.25,1390.41,1390.41,1390.41,1395.84,1395.84
Rutgers,1515.7,1489.02,1461.22,1440.41,1428.12,1407.35,1390.48,1383.09,1383.06,1372.76,1362.6,1353.62,1347.81,1347.81,1347.81,1372.69,1372.69
Tennessee,1466.54,1472.16,1492.43,1468.77,1453.04,1453.04,1470.49,1455.5,1446.83,1465.59,1494.41,1471.87,1448.7,1448.7,1448.7,1451.07,1451.07
North Texas,1522.72,1526.53,1548.52,1553.44,1544.15,1550.27,1570.14,1552.76,1563.61,1563.61,1546.82,1555.78,1561.88,1561.88,1537.87,1505.59,1505.59
Arkansas St,1506.91,1481.1,1498.27,1513.93,1497.02,1497.02,1475.33,1494.13,1480.99,1499.02,1521.9,1540.31,1556.74,1556.74,1544.23,1492.43,1492.43
Tulane,1482.94,1487.08,1470.97,1452.74,1481.06,1465.23,1465.23,1452.14,1465.67,1495.67,1506.22,1483.69,1487.71,1487.71,1509.97,1509.5,1509.5
Akron,1494.06,1498.31,1511.87,1489.61,1489.61,1463.71,1447.05,1451.45,1464.06,1447.5,1427.7,1391.91,1391.91,1376.37,1376.37,1347.42,1347.42
Arkansas,1495.23,1477.63,1455.64,1435.39,1423.36,1409.7,1400.89,1426.65,1408.17,1408.17,1399.2,1370.48,1370.48,1370.48,1370.48,1392.63,1392.63
Eastern Michigan,1503.27,1508.35,1493.41,1483.41,1472.24,1462.28,1471.65,1493.87,1475.72,1488.32,1508.11,1518.86,1518.86,1518.86,1511.55,1494.29,1494.29
Buffalo,1506.02,1521.0,1535.94,1556.75,1527.49,1541.15,1557.81,1574.9,1574.79,1587.86,1599.97,1582.33,1582.33,1575.72,1556.91,1526.95,1526.95
Temple,1489.73,1474.75,1500.86,1518.55,1500.77,1527.77,1540.64,1558.17,1558.17,1542.77,1561.77,1576.99,1588.78,1588.78,1555.07,1554.27,1554.27
Central Michigan,1480.09,1455.17,1438.91,1443.06,1429.82,1416.15,1411.31,1392.58,1379.85,1367.25,1347.29,1333.1,1333.1,1333.1,1333.1,1319.97,1319.97
Vanderbilt,1520.65,1544.72,1531.15,1505.85,1507.65,1489.96,1475.4,1464.27,1482.59,1482.59,1471.93,1487.48,1510.66,1510.66,1493.27,1495.64,1495.64
Appalachian St,1493.62,1520.26,1520.26,1524.57,1546.93,1546.93,1568.61,1582.07,1556.11,1573.26,1590.01,1600.34,1617.69,1630.02,1650.4,1622.46,1622.46
Texas-San Antonio,1472.04,1451.43,1429.75,1442.5,1456.67,1475.74,1451.08,1434.74,1434.72,1418.26,1397.08,1383.36,1377.26,1377.26,1377.26,1344.85,1344.85
Air Force,1499.85,1484.53,1484.53,1468.28,1457.67,1485.2,1474.93,1488.18,1473.57,1466.18,1485.75,1479.7,1479.7,1479.7,1479.7,1470.58,1470.58
Miami OH,1482.63,1461.19,1443.32,1464.04,1459.05,1484.95,1502.99,1498.47,1498.37,1485.3,1495.47,1526.38,1526.38,1526.38,1526.38,1495.35,1495.35
Southern Miss,1502.33,1497.02,1497.02,1515.59,1498.75,1498.75,1478.89,1495.23,1482.73,1492.39,1485.42,1491.1,1506.97,1506.97,1506.97,1469.55,1469.55
Tulsa,1494.24,1478.52,1461.36,1443.66,1443.66,1428.26,1424.9,1399.14,1385.56,1409.72,1393.65,1377.25,1390.66,1390.66,1390.66,1393.63,1393.63
Louisiana Tech,1515.69,1519.53,1519.53,1499.13,1508.42,1485.49,1510.14,1519.05,1533.64,1506.73,1516.96,1510.99,1484.7,1484.7,1505.58,1473.28,1473.28
Baylor,1492.11,1512.72,1494.56,1518.91,1498.65,1508.05,1496.58,1496.58,1473.37,1487.58,1472.38,1456.4,1476.71,1476.71,1494.09,1508.72,1508.72
Illinois,1502.21,1505.68,1492.02,1470.41,1470.41,1491.19,1465.69,1447.69,1426.98,1455.24,1431.44,1410.0,1400.67,1400.67,1400.67,1422.91,1422.91
UNLV,1472.58,1495.6,1499.62,1483.95,1483.95,1455.58,1437.42,1424.17,1400.03,1385.63,1399.47,1386.26,1405.65,1405.65,1405.65,1368.12,1368.12
Alabama-Birmingham,1504.37,1477.23,1493.34,1493.34,1512.81,1535.75,1553.89,1571.27,1582.44,1598.9,1605.87,1576.76,1547.88,1556.12,1576.58,1547.55,1547.55
Massachusetts,1472.71,1451.0,1427.42,1452.62,1433.16,1418.42,1418.42,1401.34,1414.0,1416.56,1397.72,1388.3,1388.3,1388.3,1388.3,1385.44,1385.44
Brigham Young,1504.95,1494.79,1506.87,1510.57,1487.72,1465.83,1497.11,1497.11,1491.76,1482.08,1500.92,1517.65,1504.74,1504.74,1528.77,1526.63,1526.63
Florida Int'l,1482.11,1496.47,1520.05,1499.61,1504.06,1504.06,1513.76,1526.62,1543.39,1511.39,1532.57,1543.64,1533.48,1533.48,1543.67,1532.29,1532.29
Western Kentucky,1470.24,1454.33,1444.93,1461.71,1452.36,1452.36,1425.32,1414.08,1397.21,1382.56,1367.67,1390.38,1416.67,1416.67,1416.67,1405.05,1405.05
New Mexico,1493.17,1471.37,1490.54,1490.54,1464.01,1492.39,1482.54,1463.71,1444.46,1431.5,1411.92,1396.1,1375.99,1375.99,1375.99,1366.42,1366.42
Middle Tennessee St,1476.1,1480.34,1458.12,1458.12,1463.77,1483.8,1474.1,1489.35,1510.29,1524.94,1537.88,1518.92,1547.8,1539.57,1519.18,1505.8,1505.8
Georgia St,1499.13,1473.41,1449.27,1427.28,1456.05,1440.06,1440.06,1421.26,1410.84,1393.51,1378.31,1367.67,1354.04,1354.04,1354.04,1328.0,1328.0
Louisiana-Monroe,1493.64,1498.95,1471.35,1456.05,1427.28,1404.46,1433.21,1446.58,1445.59,1477.77,1497.14,1478.19,1468.3,1468.3,1468.3,1418.16,1418.16
Nevada,1498.12,1474.05,1481.99,1459.86,1470.47,1453.43,1443.93,1443.93,1483.68,1483.68,1504.66,1516.11,1496.73,1496.73,1509.25,1473.26,1473.26
Cincinnati,1505.46,1526.9,1530.91,1541.32,1561.52,1577.36,1577.36,1559.83,1570.22,1585.83,1601.62,1595.93,1595.93,1595.93,1595.93,1599.98,1599.98
New Mexico St,1450.1,1424.24,1405.08,1420.57,1420.57,1424.5,1402.78,1387.96,1372.03,1377.56,1377.56,1360.43,1331.51,1331.51,1331.51,1323.96,1323.96
Connecticut,1463.35,1440.39,1443.73,1425.55,1405.34,1387.34,1387.34,1379.7,1366.83,1342.67,1329.14,1308.25,1296.46,1296.46,1296.46,1294.84,1294.84
South Alabama,1478.93,1454.04,1472.69,1455.2,1432.85,1412.22,1419.06,1419.06,1400.99,1382.97,1363.6,1365.01,1365.01,1365.01,1365.01,1313.69,1313.69
East Carolina,1488.3,1491.89,1491.89,1479.01,1486.09,1459.08,1440.32,1425.25,1425.24,1407.54,1396.99,1402.39,1402.39,1387.05,1387.05,1386.39,1386.39
Old Dominion,1429.93,1415.57,1406.69,1435.74,1428.66,1409.83,1391.08,1402.32,1381.36,1381.36,1398.15,1406.52,1379.66,1379.66,1379.66,1367.89,1367.89
Oregon St,1458.46,1463.08,1455.14,1432.76,1413.35,1398.3,1398.3,1374.26,1394.82,1378.97,1363.85,1338.08,1338.08,1338.08,1338.08,1350.42,1350.42
Bowling Green,1461.84,1438.62,1441.99,1421.26,1395.32,1380.22,1369.01,1352.1,1351.97,1337.43,1357.39,1367.22,1367.22,1367.22,1367.22,1339.61,1339.61
Kansas,1466.6,1491.52,1519.32,1494.98,1474.55,1459.43,1459.43,1438.9,1444.84,1426.88,1416.4,1400.11,1400.11,1400.11,1400.11,1417.18,1417.18
Hawai`i,1525.98,1542.26,1523.73,1526.85,1534.62,1543.82,1512.53,1512.53,1469.78,1450.84,1450.84,1463.8,1469.65,1469.65,1448.77,1415.01,1415.01
Louisiana-Lafayette,1495.75,1495.75,1470.6,1462.89,1447.44,1467.54,1489.25,1475.79,1488.02,1472.93,1488.13,1498.19,1508.08,1495.75,1473.49,1428.32,1428.32
Kent St,1467.19,1472.33,1450.6,1431.1,1406.24,1402.21,1384.17,1379.77,1379.71,1394.25,1382.14,1354.37,1354.37,1354.37,1354.37,1327.96,1327.96
Georgia Southern,1491.85,1513.57,1488.84,1488.84,1505.75,1526.39,1532.35,1547.17,1572.4,1540.22,1520.53,1539.6,1553.23,1553.23,1560.54,1536.27,1536.27
Ball St,1487.72,1473.38,1452.56,1435.78,1460.64,1444.28,1449.12,1426.9,1406.35,1388.02,1388.02,1379.78,1379.78,1379.78,1379.78,1364.47,1364.47
Coastal Carolina,1463.36,1490.5,1496.84,1504.55,1481.31,1481.31,1452.56,1469.64,1477.87,1460.71,1437.83,1405.71,1405.71,1405.71,1405.71,1379.08,1379.08
Rice,1464.22,1447.94,1447.94,1429.37,1407.74,1388.67,1370.52,1357.66,1346.76,1330.26,1320.03,1311.97,1338.83,1338.83,1338.83,1307.4,1307.4
Texas St-San Marcos,1461.08,1465.14,1446.49,1433.74,1433.74,1413.64,1407.68,1394.31,1409.35,1426.68,1409.93,1402.66,1386.23,1386.23,1386.23,1330.73,1330.73
San José St,1457.98,1437.74,1423.75,1423.75,1415.99,1396.74,1376.43,1371.03,1394.26,1376.78,1366.89,1355.38,1348.44,1348.44,1348.44,1314.43,1314.43
UNC-Charlotte,1486.98,1460.33,1469.22,1444.01,1424.53,1424.53,1451.57,1436.31,1448.75,1430.0,1414.71,1403.58,1416.19,1416.19,1416.19,1403.65,1403.65
UTEP,1445.66,1422.64,1402.37,1386.88,1372.71,1366.59,1366.59,1357.67,1346.3,1362.79,1349.85,1327.09,1311.22,1311.22,1311.22,1275.6,1275.6
