Rank,Team,Record,SoS,SoS Rank,ELO,Change
119,San José St,1-7,64.889,75,1394.26,7
120,Tulsa,1-7,55.778,39,1385.56,-2
121,Rutgers,1-7,57.222,48,1383.06,1
122,Old Dominion,2-7,74.8,104,1381.36,-6
123,Central Michigan,1-8,63.8,70,1379.85,-3
124,Kent St,1-7,69.111,90,1379.71,-1
125,New Mexico St,2-7,75.3,107,1372.03,-4
126,Connecticut,1-7,45.222,9,1366.83,-2
127,Bowling Green,1-7,60.556,56,1351.97,3
128,Rice,1-8,56.7,44,1346.76,1
129,UTEP,0-8,71.889,95,1346.3,-1
