Monmouth NJ,1100,Big South,FALSE,TRUE
Montana,1100,Big Sky,FALSE,TRUE
Montana St,1100,Big Sky,FALSE,TRUE
Morehead St,1100,Pioneer,FALSE,TRUE
Morgan St,1100,MEAC,FALSE,TRUE
Murray St,1100,OVC,FALSE,TRUE
New Hampshire,1100,CAA,FALSE,TRUE
Nicholls St,1100,Southland,FALSE,TRUE
Norfolk St,1100,MEAC,FALSE,TRUE
North Alabama,1100,Big South,FALSE,TRUE
North Carolina A&T,1100,MEAC,FALSE,TRUE
North Carolina Central,1100,MEAC,FALSE,TRUE
North Dakota St,1100,MVFC,FALSE,TRUE
Northern Arizona,1100,Big Sky,FALSE,TRUE
Northern Colorado,1100,Big Sky,FALSE,TRUE
Northern Iowa,1100,MVFC,FALSE,TRUE
Northwestern St,1100,Southland,FALSE,TRUE
Pennsylvania,1100,Ivy League,FALSE,TRUE
Portland St,1100,Big Sky,FALSE,TRUE
Prairie View A&M,1100,SWAC West,FALSE,TRUE
Presbyterian,1100,Big South,FALSE,TRUE
Princeton,1100,Ivy League,FALSE,TRUE
Rhode Island,1100,CAA,FALSE,TRUE
Richmond,1100,CAA,FALSE,TRUE
Robert Morris PA,1100,NEC,FALSE,TRUE
Sacramento St,1100,Big Sky,FALSE,TRUE
Sacred Heart,1100,NEC,FALSE,TRUE
Sam Houston St,1100,Southland,FALSE,TRUE
Samford,1100,Southern,FALSE,TRUE
San Diego,1100,Pioneer,FALSE,TRUE
SE Louisiana,1100,Southland,FALSE,TRUE
SE Missouri St,1100,OVC,FALSE,TRUE
South Carolina St,1100,MEAC,FALSE,TRUE
South Dakota,1100,MVFC,FALSE,TRUE
South Dakota St,1100,MVFC,FALSE,TRUE
Southern Illinois,1100,MVFC,FALSE,TRUE
Southern U.,1100,SWAC West,FALSE,TRUE
Southern Utah,1100,Big Sky,FALSE,TRUE
St Francis PA,1100,NEC,FALSE,TRUE
Stephen F. Austin,1100,Southland,FALSE,TRUE
Stetson,1100,Pioneer,FALSE,TRUE
Stony Brook,1100,CAA,FALSE,TRUE
Tennessee St,1100,OVC,FALSE,TRUE
Tennessee Tech,1100,OVC,FALSE,TRUE
Tennessee-Martin,1100,OVC,FALSE,TRUE
Texas Southern,1100,SWAC West,FALSE,TRUE
The Citadel,1100,Southern,FALSE,TRUE
Towson,1100,CAA,FALSE,TRUE
UC-Davis,1100,Big Sky,FALSE,TRUE
Valparaiso,1100,Pioneer,FALSE,TRUE
Villanova,1100,CAA,FALSE,TRUE
VMI,1100,Southern,FALSE,TRUE
Wagner,1100,NEC,FALSE,TRUE
Weber St,1100,Big Sky,FALSE,TRUE
Western Carolina,1100,Southern,FALSE,TRUE
Western Illinois,1100,MVFC,FALSE,TRUE
William & Mary,1100,CAA,FALSE,TRUE
Wofford,1100,Southern,FALSE,TRUE
Yale,1100,Ivy League,FALSE,TRUE
Youngstown St,1100,MVFC,FALSE,TRUE
Not D1,1100,D2,FALSE,FALSE
