,_id,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_id,_home_team,_home_points,_away_id,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,home_won,played,home_fbs,away_fbs,fbs_count
36,401110727.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,True,False,309.0,Louisiana,28.0,344.0,Mississippi State,38.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.3978952727983707,1476.8687351788976,1523.1312648211024,-23.131264821102377,23.131264821102377,False,True,True,True,2
37,401110724.0,2019.0,1.0,regular,2019-08-31T16:00:00.000Z,False,False,96.0,Kentucky,38.0,2649.0,Toledo,24.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.70805020110221,1522.6217334125636,1477.3782665874364,22.62173341256357,-22.62173341256357,True,True,True,True,2
38,401119259.0,2019.0,1.0,regular,2019-08-31T18:00:00.000Z,False,False,195.0,Ohio,41.0,227.0,Rhode Island,20.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,3.5715826666955337,1508.7514969597248,1195.2485030402752,8.751496959724818,-8.751496959724818,True,True,True,False,1
39,401112143.0,2019.0,1.0,regular,2019-08-31T18:00:00.000Z,False,False,277.0,West Virginia,20.0,256.0,James Madison,13.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,2.4027160670670376,1505.8874074376315,1198.1125925623685,5.887407437631509,-5.887407437631509,True,True,True,False,1
40,401114233.0,2019.0,1.0,regular,2019-08-31T19:00:00.000Z,False,False,264.0,Washington,47.0,331.0,Eastern Washington,14.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.074576236426237,1509.9839888567506,1194.0160111432494,9.983988856750557,-9.983988856750557,True,True,True,False,1
41,401117859.0,2019.0,1.0,regular,2019-08-31T19:00:00.000Z,False,False,218.0,Temple,56.0,2083.0,Bucknell,12.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.398454557507723,1510.777592255237,1193.222407744763,10.777592255237096,-10.777592255237096,True,True,True,False,1
42,401110729.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,True,False,153.0,North Carolina,24.0,2579.0,South Carolina,20.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,1.6094379124341003,1513.444461031165,1486.555538968835,13.44446103116502,-13.44446103116502,True,True,True,True,2
43,401119256.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,324.0,Coastal Carolina,23.0,2199.0,Eastern Michigan,30.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.0794415416798357,1479.940694855925,1520.059305144075,-20.059305144075097,20.059305144075097,False,True,True,True,2
44,401117857.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,2426.0,Navy,45.0,107.0,Holy Cross,7.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.233106944057365,1510.372438778068,1193.627561221932,10.372438778068044,-10.372438778068044,True,True,True,False,1
45,401112257.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,213.0,Penn State,79.0,70.0,Idaho,7.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.957463639982385,1512.147339715195,1191.852660284805,12.147339715194903,-12.147339715194903,True,True,True,False,1
46,401110720.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,True,False,333.0,Alabama,42.0,150.0,Duke,3.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,3.6888794541139363,1530.815103637327,1469.184896362673,30.815103637326956,-30.815103637326956,True,True,True,True,2
47,401117494.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,2005.0,Air Force,48.0,2142.0,Colgate,7.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.318735903478682,1510.5822565669794,1193.4177434330206,10.582256566979368,-10.582256566979368,True,True,True,False,1
48,401110730.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,2633.0,Tennessee,30.0,2247.0,Georgia State,38.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.1972245773362196,1478.8045023707455,1521.1954976292545,-21.195497629254533,21.195497629254533,False,True,True,True,2
49,401121934.0,2019.0,1.0,regular,2019-08-31T19:30:00.000Z,False,False,2026.0,Appalachian State,42.0,2193.0,East Tennessee State,7.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.140620622165674,1510.1458183018296,1193.8541816981704,10.14581830182965,-10.14581830182965,True,True,True,False,1
50,401112139.0,2019.0,1.0,regular,2019-08-31T20:00:00.000Z,False,False,2641.0,Texas Tech,45.0,147.0,Montana State,10.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,4.140620622165674,1510.1458183018296,1193.8541816981704,10.14581830182965,-10.14581830182965,True,True,True,False,1
51,401110721.0,2019.0,1.0,regular,2019-08-31T20:00:00.000Z,False,False,8.0,Arkansas,20.0,2502.0,Portland State,13.0,0,1500,0,1204,0.8638714763418578,0.13612852365814215,2.4027160670670376,1505.8874074376315,1198.1125925623685,5.887407437631509,-5.887407437631509,True,True,True,False,1
52,401112435.0,2019.0,1.0,regular,2019-08-31T20:00:00.000Z,False,True,103.0,Boston College,35.0,259.0,Virginia Tech,28.0,0,1500,0,1500,0.5359159269451023,0.4640840730548977,2.0794415416798357,1517.370642606162,1482.629357393838,17.370642606161937,-17.370642606161937,True,True,True,True,2
