Game ID,Home,Home Elo,Home Score,Away,Away Elo,Away Score,Obs. Spread,Pred. Spread,Elo Diff.,Home Win,Away Win
176,Morehead St,1279.54,14,Illinois St,1459.0,42,28,17.95,179.46,0,1
177,Texas Southern,1138.0,44,Incarnate Word,1316.83,63,19,17.88,178.83,0,1
178,Eastern Illinois,1218.84,0,Indiana,1579.29,52,52,36.04,360.45,0,1
179,Dayton,1459.86,42,Indiana St,1374.3,35,7,8.56,85.55,1,0
180,Rutgers,1370.35,0,Iowa,1627.71,30,30,25.74,257.36,0,1
181,Chattanooga,1373.88,20,Jacksonville St,1360.37,41,21,1.35,13.51,0,1
182,St Francis PA,1360.67,7,James Madison,1627.06,44,37,26.64,266.39,0,1
183,Coastal Carolina,1455.26,12,Kansas,1431.23,7,5,2.4,24.03,1,0
184,Bowling Green,1340.8,0,Kansas St,1586.54,52,52,24.57,245.75,0,1
185,Kennesaw St,1521.46,23,Kent St,1449.07,26,3,7.24,72.38,0,1
186,Eastern Michigan,1468.97,17,Kentucky,1571.23,38,21,10.23,102.26,0,1
188,Grambling St,1413.49,14,Louisiana Tech,1485.98,20,6,7.25,72.49,0,1
189,Liberty,1487.55,14,Louisiana-Lafayette,1640.8,35,21,15.33,153.25,0,1
190,Eastern Kentucky,1425.8,0,Louisville,1552.26,42,42,12.65,126.45,0,1
191,Syracuse,1463.14,20,Maryland,1423.66,63,43,3.95,39.47,0,1
192,Southern Illinois,1464.33,45,Massachusetts,1235.37,20,25,22.9,228.96,1,0
193,Southern U.,1406.27,24,Memphis,1667.3,55,31,26.1,261.03,0,1
194,Tennessee Tech,1320.22,17,Miami OH,1500.73,48,31,18.05,180.5,0,1
195,Army,1499.6,21,Michigan,1688.55,24,3,18.89,188.95,0,1
196,Western Michigan,1541.63,17,Michigan St,1522.86,51,34,1.88,18.77,0,1
197,Tennessee St,1246.86,26,Middle Tennessee St,1385.64,45,19,13.88,138.78,0,1
198,Arkansas,1390.88,17,Mississippi,1507.86,31,14,11.7,116.99,0,1
199,Southern Miss,1466.81,15,Mississippi St,1524.09,38,23,5.73,57.28,0,1
200,West Virginia,1455.98,7,Missouri,1530.34,38,31,7.44,74.36,0,1
202,Lafayette,1255.7,21,Monmouth NJ,1531.41,24,3,27.57,275.71,0,1
203,North Alabama,1306.46,17,Montana,1513.19,61,44,20.67,206.72,0,1
204,SE Missouri St,1465.63,17,Montana St,1523.76,38,21,5.81,58.13,0,1
206,Miami FL,1553.87,25,North Carolina,1509.9,28,3,4.4,43.97,0,1
207,Western Carolina,1248.32,0,North Carolina St,1450.19,41,41,20.19,201.86,0,1
209,Southern Utah,1232.93,14,Northern Iowa,1482.79,34,20,24.99,249.86,0,1
211,Cincinnati,1625.38,0,Ohio State,1782.52,42,42,15.71,157.13,0,1
212,South Dakota,1402.91,14,Oklahoma,1674.73,70,56,27.18,271.83,0,1
213,McNeese St,1397.83,14,Oklahoma St,1613.62,56,42,21.58,215.8,0,1
214,Nevada,1475.66,6,Oregon,1675.71,77,71,20.01,200.06,0,1
215,Buffalo,1541.82,13,Penn State,1676.97,45,32,13.51,135.15,0,1
216,Ohio U.,1495.01,10,Pittsburgh,1514.67,20,10,1.97,19.66,0,1
218,Mercer,1289.67,45,Presbyterian,1227.45,7,38,6.22,62.22,1,0
219,Vanderbilt,1412.55,24,Purdue,1468.85,42,18,5.63,56.3,0,1
220,Delaware,1341.12,44,Rhode Island,1265.27,36,8,7.59,75.86,1,0
222,Bucknell,1242.48,10,Sacred Heart,1392.15,30,20,14.97,149.67,0,1
224,UC-Davis,1371.51,38,San Diego,1539.52,35,3,16.8,168.01,1,0
226,North Texas,1359.26,27,SMU,1601.76,49,22,24.25,242.5,0,1
227,Jackson St,1257.78,14,South Alabama,1319.7,37,23,6.19,61.92,0,1
228,Charleston Southern,1362.14,10,South Carolina,1484.79,72,62,12.26,122.64,0,1
231,Stanford,1445.65,20,Southern Cal,1598.89,45,25,15.32,153.25,0,1
234,Brigham Young,1541.81,29,Tennessee,1572.29,26,3,3.05,30.48,1,0
235,LSU,1743.48,45,Texas,1537.72,38,7,20.58,205.76,1,0
236,Wyoming,1574.5,23,Texas St-San Marcos,1352.08,14,9,22.24,222.42,1,0
237,UTEP,1209.29,3,Texas Tech,1506.64,38,35,29.73,297.35,0,1
238,North Carolina Central,1272.68,3,Towson,1463.92,42,39,19.12,191.25,0,1
239,San Diego St,1564.75,23,UCLA,1456.93,14,9,10.78,107.82,1,0
240,Arkansas St,1516.71,43,UNLV,1375.75,17,26,14.1,140.96,1,0
241,Northern Illinois,1388.32,17,Utah,1703.18,35,18,31.49,314.86,0,1
242,Stony Brook,1344.29,7,Utah St,1497.19,62,55,15.29,152.9,0,1
243,Lehigh,1284.05,10,Villanova,1512.39,38,28,22.83,228.33,0,1
