,did_home_win,conference_game,neutral_site,season,week,conference,l3g_avg_points,l5g_avg_points,l7g_avg_points,l3g_avg_spread,l5g_avg_spread,l7g_avg_spread,l3g_opp_avg_points,l5g_opp_avg_points,l7g_opp_avg_points,l3g_opp_avg_spread,l5g_opp_avg_spread,l7g_opp_avg_spread,season_type_postseason,season_type_regular,conference_ACC,conference_American Athletic,conference_Big 12,conference_Big East,conference_Big Ten,conference_Conference USA,conference_FBS Independents,conference_FCS,conference_Mid-American,conference_Mountain West,conference_Pac-12,conference_SEC,conference_Sun Belt,conference_Western Athletic,team
7726,False,True,False,2019,14,ACC,21.0,23.6,20.285714285714285,2.0,3.4,-4.428571428571429,19.0,20.2,24.714285714285715,-3.0,-4.4,3.4285714285714284,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pittsburgh
7743,False,True,False,2019,14,ACC,15.333333333333336,24.2,30.42857142857143,-17.666666666666668,-0.2,11.714285714285715,33.0,24.4,18.714285714285715,16.666666666666668,-0.8,-12.714285714285715,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NC State
7761,True,True,True,2019,15,ACC,22.66666666666667,23.6,25.142857142857146,-3.6666666666666665,-2.4,-2.8571428571428568,25.33333333333333,25.0,27.0,2.6666666666666665,1.4,1.8571428571428568,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia
7736,False,True,False,2019,14,Mountain West,24.66666666666667,33.6,26.42857142857143,-16.666666666666668,-7.8,-14.0,41.333333333333336,41.4,40.42857142857143,15.666666666666664,6.8,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,New Mexico
7690,True,True,False,2019,14,Mid-American,28.66666666666667,23.4,25.57142857142857,4.666666666666667,4.4,6.857142857142858,24.0,19.0,18.714285714285715,-5.666666666666668,-5.4,-7.857142857142858,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Northern Illinois
7745,True,False,False,2019,14,SEC,32.333333333333336,33.8,34.0,20.0,25.8,25.42857142857143,12.333333333333336,8.0,8.571428571428571,-21.0,-26.8,-26.42857142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Florida
7699,False,True,False,2019,14,SEC,17.666666666666668,20.8,25.57142857142857,-32.333333333333336,-21.6,-11.428571428571427,50.0,42.4,37.0,31.33333333333333,20.6,10.428571428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Arkansas
7712,False,False,False,2019,14,SEC,22.0,22.6,30.42857142857143,0.3333333333333333,-1.2,11.571428571428573,21.66666666666667,23.8,18.857142857142858,-1.3333333333333333,0.2,-12.571428571428573,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,South Carolina
7747,False,True,False,2019,14,Big 12,30.66666666666667,34.8,36.714285714285715,2.333333333333333,12.4,9.857142857142858,28.33333333333333,22.4,26.857142857142854,-3.333333333333333,-13.4,-10.857142857142858,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Oklahoma State
7728,False,True,False,2019,14,Big 12,22.33333333333333,19.6,19.857142857142858,-16.666666666666668,-12.0,-8.571428571428571,39.0,31.6,28.42857142857143,15.666666666666664,11.0,7.571428571428571,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kansas
