game_id,did_home_win,conference_game,neutral_site,season,week,away_l3g_avg_points,away_l5g_avg_points,away_l7g_avg_points,home_l3g_avg_points,home_l5g_avg_points,home_l7g_avg_points,home_l3g_avg_spread,home_l5g_avg_spread,home_l7g_avg_spread,away_l3g_avg_spread,away_l5g_avg_spread,away_l7g_avg_spread,home_l3g_opp_avg_points,home_l5g_opp_avg_points,home_l7g_opp_avg_points,away_l3g_opp_avg_points,away_l5g_opp_avg_points,away_l7g_opp_avg_points,home_l3g_opp_avg_spread,home_l5g_opp_avg_spread,home_l7g_opp_avg_spread,away_l3g_opp_avg_spread,away_l5g_opp_avg_spread,away_l7g_opp_avg_spread,season_type_postseason,season_type_regular,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big East,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_FCS,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,away_conference_Western Athletic,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big East,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_FCS,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,home_conference_Western Athletic
22,TRUE,FALSE,FALSE,2011,1,14,16.6,15.28571429,32.33333333,31.8,41.57142857,14,16.2,23.85714286,-30.66666667,-22.2,-19.57142857,18.33333333,15.6,17.71428571,43.66666667,37.8,33.85714286,-15,-17.2,-24.85714286,29.66666667,21.2,18.57142857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,TRUE,FALSE,FALSE,2011,1,10.66666667,20,21,16.33333333,19.2,21.85714286,-26.33333333,-16.8,-20.85714286,-40.33333333,-26.4,-23.57142857,42.66666667,36,42.71428571,50,45.4,43.57142857,25.33333333,15.8,19.85714286,39.33333333,25.4,22.57142857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,TRUE,FALSE,FALSE,2011,1,32.33333333,22.6,19.14285714,41.33333333,46.4,47,19.33333333,25.6,28.42857143,3.666666667,-15.6,-19.57142857,22,20.8,18.57142857,27.66666667,37.2,37.71428571,-20.33333333,-26.6,-29.42857143,-4.666666667,14.6,18.57142857,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,TRUE,FALSE,FALSE,2011,1,35.33333333,31.4,32.28571429,37.66666667,29.4,31.28571429,12.66666667,2,6.428571429,19.33333333,13.8,16,25,27.4,24.85714286,15,16.6,15.28571429,-13.66666667,-3,-7.428571429,-20.33333333,-14.8,-17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,TRUE,FALSE,FALSE,2011,1,26.33333333,20,19.57142857,41.66666667,42.6,40.57142857,20.33333333,26,22.71428571,-13.33333333,-23.4,-22.14285714,21.33333333,16.6,17.85714286,38.66666667,42.4,40.71428571,-21.33333333,-27,-23.71428571,12.33333333,22.4,21.14285714,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,TRUE,FALSE,FALSE,2011,1,26.66666667,18.6,16.28571429,30.33333333,36,35.57142857,15.66666667,21,18.71428571,-8.333333333,-22,-22.85714286,14.66666667,15,16.85714286,34,39.6,38.14285714,-16.66666667,-22,-19.71428571,7.333333333,21,21.85714286,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,TRUE,FALSE,FALSE,2011,1,45.33333333,35.8,36.57142857,29,31.2,31.14285714,4,1,4.142857143,-1,-6.8,2.571428571,25,30.2,27,45.33333333,41.6,33,-5,-2,-5.142857143,0,5.8,-3.571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,TRUE,FALSE,FALSE,2011,1,43.66666667,35.2,31.57142857,56.66666667,53.4,49,48.66666667,43.8,38.71428571,4.333333333,1.4,1.142857143,8,9.6,10.28571429,38.33333333,32.8,29.42857143,-49.66666667,-44.8,-39.71428571,-5.333333333,-2.4,-2.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,TRUE,FALSE,FALSE,2011,1,18,27,26.28571429,27,28.4,34.14285714,-12,-4.6,-0.285714286,-11.33333333,-8.4,-9.714285714,39,33,34.42857143,28.33333333,34.4,35,11,3.6,-0.714285714,10.33333333,7.4,8.714285714,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,TRUE,FALSE,FALSE,2011,1,25,26,25,23.66666667,26,26,-1.666666667,-1,-1,-7.333333333,-13.2,-14.28571429,25.33333333,27,27,31.33333333,38.2,38.28571429,0.666666667,0,0,6.333333333,12.2,13.28571429,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,TRUE,FALSE,FALSE,2011,1,33,33.6,33.71428571,31.66666667,34.2,28.85714286,0.666666667,7,3.857142857,11.66666667,8.6,5.571428571,31,27.2,25,20.33333333,24,27.14285714,-1.666666667,-8,-4.857142857,-12.66666667,-9.6,-6.571428571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,TRUE,FALSE,FALSE,2011,1,11.66666667,8.4,9.833333333,37,37.4,38.42857143,14,16.6,18.42857143,-24.66666667,-36.4,-34.33333333,23,20.8,20,35.33333333,43.8,43.16666667,-15,-17.6,-19.42857143,23.66666667,35.4,33.33333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,TRUE,FALSE,FALSE,2011,1,7.333333333,9,8.714285714,21.66666667,23.2,22.85714286,-6.666666667,-5,-1.142857143,-35.33333333,-36.4,-33.85714286,28.33333333,28.2,24,41.66666667,44.4,41.57142857,5.666666667,4,0.142857143,34.33333333,35.4,32.85714286,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,TRUE,FALSE,FALSE,2011,1,29.33333333,27.6,30.57142857,33,35,35.14285714,24,25.4,22.42857143,-4.666666667,-13.8,-6.714285714,9,9.6,12.71428571,33,40.4,36.28571429,-25,-26.4,-23.42857143,3.666666667,12.8,5.714285714,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,TRUE,FALSE,FALSE,2011,1,20,24.8,25.57142857,25.33333333,31.2,28.71428571,6.333333333,6.2,-0.142857143,-20,-23,-14.71428571,19,25,28.85714286,39,46.8,39.28571429,-7.333333333,-7.2,-0.857142857,19,22,13.71428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,FALSE,FALSE,FALSE,2011,1,32,24.6,26,34.33333333,38,41.71428571,12,20.6,26.85714286,5.333333333,0,-5,22.33333333,17.4,14.85714286,25.66666667,23.6,30,-13,-21.6,-27.85714286,-6.333333333,-1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
