,game_id,home_team,away_team
194,194,TCU,Louisiana Monroe
195,195,Northern Illinois,Wisconsin
196,196,Minnesota,Miami (OH)
197,197,New Mexico,Texas Tech
198,198,Indiana,South Carolina State
199,199,North Carolina,Virginia
200,200,Nebraska,Washington
201,201,UCLA,Texas
202,202,Notre Dame,Michigan State
203,203,Florida,Tennessee
204,204,Army,Northwestern
205,205,Oregon,Missouri State
206,206,Cincinnati,Akron
207,207,Virginia Tech,Arkansas State
208,208,UAB,Tulane
209,209,San José State,Nevada
210,210,California,Presbyterian College
211,211,Florida International,UCF
212,212,South Carolina,Navy
213,213,NC State,South Alabama
214,214,Wake Forest,Gardner-Webb
215,215,San Diego State,Washington State
216,216,Texas A&M,Idaho
217,217,Memphis,Austin Peay
218,218,Missouri,Western Illinois
219,219,Ohio,Marshall
220,220,Kentucky,Louisville
221,221,Western Kentucky,Indiana State
222,222,Southern Mississippi,Southeastern Louisiana
223,223,Ball State,Buffalo
224,224,Kansas State,Kent State
225,225,Louisiana Tech,Houston
226,226,Louisiana,Nicholls
227,227,South Florida,Florida A&M
228,228,Baylor,Stephen F. Austin
229,229,Illinois,Arizona State
230,230,Arkansas,Troy
231,231,Miami,Ohio State
232,232,Alabama,North Texas
233,233,Florida State,Oklahoma
234,234,SMU,Northwestern State
235,235,New Mexico State,UTEP
236,236,USC,Syracuse
237,237,BYU,Utah
238,238,Fresno State,North Dakota
239,239,Tulsa,Oklahoma State
240,240,UNLV,Hawai'i
241,241,Arizona,Stanford
242,242,Cincinnati,NC State
243,243,BYU,UCF
244,244,Michigan State,Central Michigan
245,245,Memphis,SMU
246,246,Michigan,San Diego State
247,247,Georgia Tech,North Carolina
248,248,Syracuse,Toledo
249,249,Penn State,Eastern Michigan
250,250,Pittsburgh,Notre Dame
251,251,Iowa,Louisiana Monroe
252,252,Ole Miss,Georgia
253,253,Maryland,Temple
254,254,Boston College,UMass
255,255,Miami (OH),Bowling Green
256,256,Ball State,Army
257,257,Rutgers,Ohio
258,258,Akron,VMI
259,259,TCU,Portland State
260,260,Air Force,Tennessee State
261,261,Alabama,Arkansas
262,262,Northern Illinois,Cal Poly
263,263,Kent State,South Alabama
264,264,Oregon State,UCLA
265,265,Ohio State,Colorado
266,266,Virginia,Southern Mississippi
267,267,Washington,California
268,268,Duke,Tulane
269,269,East Carolina,UAB
270,270,Marshall,Virginia Tech
271,271,Clemson,Florida State
272,272,Texas A&M,Oklahoma State
