Rank,Team,Record,SoS,SoS Rank,ELO
96,UNLV,5-7,78.923,124,1478.75
97,Louisiana-Lafayette,5-7,83.077,129,1478.03
98,Nebraska,4-8,44.154,4,1472.93
99,Louisiana-Monroe,4-8,64.154,83,1470.59
100,Massachusetts,4-8,75.385,117,1469.39
101,Rutgers,4-8,57.308,46,1469.25
102,Maryland,4-8,40.308,3,1468.63
103,Arkansas,4-8,47.769,8,1468.29
104,Cincinnati,4-8,62.769,74,1467.42
105,Syracuse,4-8,44.846,5,1467.26
106,Tennessee,4-8,55.769,36,1466.8
107,South Alabama,4-8,68.154,99,1466.37
108,Idaho,4-8,71.385,107,1465.29
109,Brigham Young,4-9,64.929,86,1460.88
110,North Carolina,3-9,58.308,52,1457.4
111,Nevada,3-9,56.846,43,1456.52
112,East Carolina,3-9,60.538,62,1456.07
113,Coastal Carolina,3-9,75.231,115,1453.46
114,Connecticut,3-9,63.231,77,1453.14
115,New Mexico,3-9,61.923,70,1452.41
116,Hawai`i,3-9,76.0,119,1449.77
117,Tulsa,2-10,55.308,34,1447.36
118,Illinois,2-10,52.846,23,1445.35
119,Georgia Southern,2-10,66.538,91,1441.21
120,Bowling Green,2-10,57.846,49,1440.68
121,Texas St-San Marcos,2-10,65.923,89,1440.31
122,Kent St,2-10,59.923,61,1439.49
123,Ball St,2-10,68.154,98,1437.71
124,San José St,2-11,66.929,93,1433.8
125,Rice,1-11,54.846,31,1431.58
126,Baylor,1-11,54.308,30,1429.96
127,Oregon St,1-11,56.846,44,1428.59
128,UNC-Charlotte,1-11,55.846,37,1428.48
129,Kansas,1-11,49.692,13,1427.91
130,UTEP,0-12,52.308,20,1419.31
