,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
46,Iowa State,1608.76,2017,1624.4,Memphis,(20 - **21**) W,8.51,(8 - 5),(5 - 5),Big 12,,iowastate,True
47,Temple,1607.07,2017,1568.82,Florida International,(3 - **28**) W,31.56,(7 - 6),(4 - 6),American Athletic,East,temple,True
48,Arkansas State,1606.03,2017,1525.91,Middle Tennessee,(**30** - 35) L,-22.19,(7 - 5),(6 - 5),Sun Belt,,arkansasstate,True
49,Wyoming,1605.2,2017,1566.57,Central Michigan,(**37** - 14) W,28.09,(8 - 5),(5 - 5),Mountain West,Mountain,wyoming,True
50,Duke,1603.48,2017,1633.06,Northern Illinois,(14 - **36**) W,34.92,(7 - 6),(3 - 6),ACC,Coastal,duke,True
51,Texas,1599.99,2017,1573.95,Missouri,(16 - **33**) W,32.73,(7 - 6),(5 - 6),Big 12,,texas,True
52,Texas A&M,1597.8,2017,1636.75,Wake Forest,(**52** - 55) L,-14.58,(7 - 6),(4 - 6),SEC,West,texasam,True
53,Georgia Tech,1589.22,2017,1659.99,Georgia,(**7** - 38) L,-22.63,(5 - 6),(4 - 6),ACC,Coastal,georgiatech,True
54,Colorado State,1588.74,2017,1570.27,Marshall,(**28** - 31) L,-15.64,(7 - 6),(5 - 6),Mountain West,Mountain,,True
55,Navy,1586.37,2017,1569.73,Virginia,(**49** - 7) W,26.08,(7 - 6),(4 - 6),American Athletic,West,navy,True
56,West Virginia,1585.86,2017,1623.58,Utah,(**14** - 30) L,-30.1,(7 - 6),(5 - 6),Big 12,,westvirginia,True
57,Boston College,1584.8,2017,1575.28,Iowa,(**20** - 27) L,-20.74,(7 - 6),(4 - 6),ACC,Atlantic,bostoncollege,True
58,Oregon,1583.27,2017,1614.74,Boise State,(**28** - 38) L,-18.85,(7 - 6),(4 - 6),Pac-12,North,oregon,True
59,Missouri,1581.29,2017,1585.75,Texas,(**16** - 33) L,-32.73,(7 - 6),(4 - 6),SEC,East,missouri,True
60,Ole Miss,1577.01,2017,1638.47,Mississippi State,(28 - **31**) W,18.11,(6 - 6),(3 - 6),SEC,West,olemiss,True
61,Marshall,1575.42,2017,1521.3,Colorado State,(28 - **31**) W,15.64,(8 - 5),(4 - 5),Conference USA,East,marshall,True
62,Northern Illinois,1571.37,2017,1569.41,Duke,(**14** - 36) L,-34.92,(8 - 5),(6 - 5),Mid-American,West,northernillinois,True
63,Kentucky,1560.28,2017,1610.48,Northwestern,(24 - **23**) L,-4.3,(7 - 6),(4 - 6),SEC,East,kentucky,True
64,Pittsburgh,1557.0,2017,1627.74,Miami,(**24** - 14) W,32.67,(5 - 7),(3 - 7),ACC,Coastal,pittsburgh,True
65,Purdue,1556.32,2017,1571.1,Arizona,(**38** - 35) W,12.19,(7 - 6),(4 - 6),Big Ten,West,purdue,True
66,Central Michigan,1555.77,2017,1568.72,Wyoming,(37 - **14**) L,-28.09,(8 - 5),(6 - 5),Mid-American,West,centralmichigan,True
67,Air Force,1552.33,2017,1632.31,Utah State,(**38** - 35) W,12.7,(5 - 7),(4 - 7),Mountain West,Mountain,airforce,True
68,Southern Mississippi,1548.48,2017,1535.08,Florida State,(42 - **13**) L,-22.43,(8 - 5),(6 - 5),Conference USA,West,southernmiss,True
69,Middle Tennessee,1547.78,2017,1498.0,Arkansas State,(30 - **35**) W,22.19,(7 - 6),(4 - 6),Conference USA,East,middletennessee,True
70,UAB,1543.69,2017,1526.33,Ohio,(41 - **6**) L,-25.94,(8 - 5),(6 - 5),Conference USA,West,uab,True
71,UT San Antonio,1543.29,2017,1536.65,Louisiana Tech,(20 - **6**) L,-24.04,(6 - 5),(3 - 5),Conference USA,West,utsa,True
72,California,1537.33,2017,1637.95,UCLA,(30 - **27**) L,-13.57,(5 - 7),(2 - 7),Pac-12,North,california,True
73,Arizona State,1537.15,2017,1587.28,NC State,(**31** - 52) L,-25.05,(7 - 6),(6 - 6),Pac-12,South,,True
74,Arizona,1536.7,2017,1595.53,Purdue,(38 - **35**) L,-12.19,(7 - 6),(5 - 6),Pac-12,South,arizona,True
75,Indiana,1530.59,2017,1593.97,Purdue,(31 - **24**) L,-19.25,(5 - 7),(2 - 7),Big Ten,East,indiana,True
76,Texas Tech,1528.57,2017,1626.1,South Florida,(38 - **34**) L,-8.37,(6 - 7),(3 - 7),Big 12,,texastech,True
77,North Carolina,1527.83,2017,1643.63,NC State,(33 - **21**) L,-16.64,(3 - 9),(1 - 9),ACC,Coastal,northcarolina,True
78,Western Kentucky,1526.96,2017,1527.4,Georgia State,(27 - **17**) L,-25.13,(6 - 7),(4 - 7),Conference USA,East,wku,True
79,North Texas,1525.79,2017,1573.64,Troy,(**30** - 50) L,-22.06,(9 - 5),(7 - 5),Conference USA,West,northtexas,True
80,Colorado,1525.61,2017,1598.87,Utah,(34 - **13**) L,-24.92,(5 - 7),(2 - 7),Pac-12,South,colorado,True
81,Florida,1525.24,2017,1618.28,Florida State,(**22** - 38) L,-24.35,(4 - 7),(3 - 7),SEC,East,florida,True
82,Utah State,1524.0,2017,1568.37,New Mexico State,(**20** - 26) L,-23.68,(6 - 7),(4 - 7),Mountain West,Mountain,,True
83,Minnesota,1522.0,2017,1553.47,Wisconsin,(**0** - 31) L,-15.12,(5 - 7),(2 - 7),Big Ten,West,minnesota,True
84,Buffalo,1521.26,2017,1561.74,Ohio,(**31** - 24) W,25.03,(6 - 6),(4 - 6),Mid-American,East,buffalo,True
85,SMU,1521.18,2017,1602.4,Louisiana Tech,(**10** - 51) L,-36.4,(7 - 6),(4 - 6),American Athletic,West,smu,True
86,Florida International,1516.28,2017,1561.29,Temple,(**3** - 28) L,-31.56,(8 - 5),(5 - 5),Conference USA,East,fiu,True
87,Miami (OH),1507.91,2017,1525.06,Ball State,(7 - **28**) W,21.42,(5 - 7),(4 - 7),Mid-American,East,,True
88,Vanderbilt,1504.9,2017,1634.31,Tennessee,(24 - **42**) W,33.64,(5 - 7),(1 - 7),SEC,East,vanderbilt,True
89,Tulane,1497.18,2017,1597.85,SMU,(41 - **38**) L,-10.78,(5 - 7),(3 - 7),American Athletic,West,tulane,True
90,Georgia State,1496.99,2017,1535.36,Western Kentucky,(**27** - 17) W,25.13,(7 - 5),(5 - 5),Sun Belt,,georgiastate,True
91,BYU,1495.12,2017,1549.42,Hawai'i,(20 - **30**) W,18.28,(4 - 9),(0 - 9),FBS Independents,,byu,True
92,Akron,1494.99,2017,1593.16,Florida Atlantic,(50 - **3**) L,-18.99,(7 - 7),(6 - 7),Mid-American,East,akron,True
93,UCLA,1492.88,2017,1596.14,Kansas State,(**17** - 35) L,-23.0,(6 - 7),(4 - 7),Pac-12,South,ucla,True
94,Eastern Michigan,1492.09,2017,1531.36,Bowling Green,(**34** - 31) W,8.92,(5 - 7),(3 - 7),Mid-American,West,easternmichigan,True
95,Tennessee,1489.35,2017,1620.56,Vanderbilt,(**24** - 42) L,-33.64,(4 - 8),(0 - 8),SEC,East,tennessee,True
96,New Mexico State,1480.85,2017,1503.24,Utah State,(20 - **26**) W,23.68,(7 - 6),(4 - 6),Sun Belt,,newmexicostate,True
97,Arkansas,1476.72,2017,1635.16,Missouri,(**45** - 48) L,-10.52,(4 - 8),(1 - 8),SEC,West,arkansas,True
98,Old Dominion,1466.82,2017,1544.84,Middle Tennessee,(41 - **10**) L,-30.22,(5 - 7),(3 - 7),Conference USA,East,olddominion,True
99,Idaho,1460.31,2017,1534.45,Georgia State,(10 - **24**) W,32.23,(4 - 8),(3 - 8),Sun Belt,,idaho,True
100,Virginia,1458.48,2017,1615.63,Navy,(49 - **7**) L,-26.08,(6 - 7),(3 - 7),ACC,Coastal,virginia,True
101,UMass,1457.35,2017,1598.13,Florida International,(63 - **45**) L,-22.45,(4 - 8),(0 - 8),FBS Independents,,,True
102,UNLV,1453.77,2017,1560.91,Nevada,(23 - **16**) L,-20.63,(5 - 7),(4 - 7),Mountain West,West,unlv,True
103,Nebraska,1451.61,2017,1584.71,Iowa,(**14** - 56) L,-29.0,(4 - 8),(3 - 8),Big Ten,West,nebraska,True
104,Tulsa,1448.74,2017,1584.27,Temple,(**22** - 43) L,-26.59,(2 - 10),(1 - 10),American Athletic,West,tulsa,True
105,Syracuse,1445.57,2017,1645.52,Boston College,(**14** - 42) L,-26.26,(4 - 8),(2 - 8),ACC,Atlantic,syracuse,True
106,Nevada,1440.7,2017,1583.95,UNLV,(**23** - 16) W,20.63,(3 - 9),(3 - 9),Mountain West,West,nevada,True
107,Maryland,1440.65,2017,1636.19,Penn State,(**3** - 66) L,-17.0,(4 - 8),(2 - 8),Big Ten,East,maryland,True
108,New Mexico,1436.79,2017,1593.55,San Diego State,(35 - **10**) L,-12.66,(3 - 9),(1 - 9),Mountain West,Mountain,newmexico,True
109,Louisiana,1434.72,2017,1548.46,Appalachian State,(63 - **14**) L,-17.66,(5 - 7),(4 - 7),Sun Belt,,louisiana,True
110,South Alabama,1430.75,2017,1552.46,New Mexico State,(22 - **17**) L,-15.77,(4 - 8),(3 - 8),Sun Belt,,southalabama,True
111,Rutgers,1413.67,2017,1610.54,Michigan State,(**7** - 40) L,-23.45,(4 - 8),(3 - 8),Big Ten,East,rutgers,True
112,Coastal Carolina,1412.82,2017,1537.71,Georgia Southern,(**28** - 17) W,23.15,(3 - 9),(2 - 9),Sun Belt,,coastalcarolina,True
113,Louisiana Monroe,1410.95,2017,1548.6,Florida State,(42 - **10**) L,-13.98,(4 - 8),(4 - 8),Sun Belt,,ulm,True
114,Baylor,1404.06,2017,1621.78,TCU,(45 - **22**) L,-8.57,(1 - 11),(1 - 11),Big 12,,baylor,True
115,East Carolina,1395.35,2017,1599.08,Memphis,(70 - **13**) L,-12.0,(3 - 9),(2 - 9),American Athletic,East,eastcarolina,True
116,Georgia Southern,1394.08,2017,1546.81,Coastal Carolina,(28 - **17**) L,-23.15,(2 - 10),(2 - 10),Sun Belt,,georgiasouthern,True
117,Cincinnati,1384.68,2017,1575.45,Connecticut,(**22** - 21) W,5.68,(4 - 8),(2 - 8),American Athletic,East,cincinnati,True
118,Bowling Green,1376.07,2017,1559.86,Eastern Michigan,(34 - **31**) L,-8.92,(2 - 10),(2 - 10),Mid-American,East,bowlinggreen,True
119,Connecticut,1352.15,2017,1582.58,Cincinnati,(22 - **21**) L,-5.68,(3 - 9),(2 - 9),American Athletic,East,connecticut,True
120,Hawai'i,1343.68,2017,1540.43,BYU,(**20** - 30) L,-18.28,(3 - 9),(1 - 9),Mountain West,West,,True
121,Illinois,1337.26,2017,1584.43,Northwestern,(**7** - 42) L,-13.18,(2 - 10),(0 - 10),Big Ten,West,illinois,True
122,Oregon State,1321.54,2017,1637.61,Oregon,(69 - **10**) L,-14.5,(1 - 11),(0 - 11),Pac-12,North,oregonstate,True
123,Ball State,1320.45,2017,1579.23,Miami (OH),(**7** - 28) L,-21.42,(2 - 10),(0 - 10),Mid-American,West,,True
124,Texas State,1315.28,2017,1573.82,Troy,(62 - **9**) L,-10.35,(2 - 10),(1 - 10),Sun Belt,,texasstate,True
125,Kent State,1310.49,2017,1582.09,Akron,(24 - **14**) L,-10.75,(2 - 10),(1 - 10),Mid-American,East,,True
126,Rice,1300.39,2017,1539.02,North Texas,(**14** - 30) L,-13.86,(1 - 11),(1 - 11),Conference USA,West,rice,True
127,Charlotte,1299.61,2017,1574.69,Florida Atlantic,(**12** - 31) L,-9.39,(1 - 11),(1 - 11),Conference USA,East,charlotte,True
128,Kansas,1293.98,2017,1632.52,Oklahoma State,(58 - **17**) L,-6.84,(1 - 11),(0 - 11),Big 12,,kansas,True
129,San José State,1271.73,2017,1563.1,Wyoming,(**20** - 17) W,19.57,(2 - 11),(1 - 11),Mountain West,West,,True
130,UTEP,1257.8,2017,1536.62,UAB,(28 - **7**) L,-9.11,(0 - 12),(0 - 12),Conference USA,West,utep,True
