Rank,Team,Record,SoS,SoS Rank,ELO,Change
57,Pittsburgh,7-7,41.2,4,1522.16,1
58,Houston,8-5,74.143,102,1519.84,-1
59,Georgia Tech,7-6,62.0,65,1511.54,8
60,Tulane,7-6,65.571,76,1509.5,1
61,Baylor,7-6,55.286,48,1508.72,11
62,Kansas St,5-7,52.538,38,1506.04,14
63,Middle Tennessee St,8-6,62.733,68,1505.8,-7
64,North Texas,9-4,88.286,129,1505.59,-16
65,Maryland,5-7,42.769,6,1505.18,18
66,South Carolina,7-6,52.429,37,1502.1,4
67,Arizona,5-7,63.231,69,1501.45,8
68,Toledo,7-6,78.214,110,1499.75,-9
69,Vanderbilt,6-7,54.286,46,1495.64,4
70,Miami OH,6-6,65.308,75,1495.35,-18
71,Eastern Michigan,7-6,78.071,109,1494.29,-11
72,Southern Cal,5-7,53.462,45,1492.62,7
73,Arkansas St,8-5,81.929,124,1492.43,-30
74,California,7-6,62.429,66,1491.72,8
75,Nebraska,4-8,43.0,7,1491.09,11
76,Wyoming,6-6,66.308,78,1490.48,-5
77,Indiana,5-7,41.0,3,1486.37,13
78,Texas Tech,5-7,51.538,32,1479.73,10
79,Florida St,5-7,46.077,13,1477.5,12
80,Virginia Tech,6-7,55.643,49,1475.63,0
81,Northern Illinois,8-6,63.533,70,1475.37,-4
82,Florida Atlantic,5-7,63.846,71,1474.25,-4
83,Louisiana Tech,8-5,80.5,119,1473.28,-15
84,Nevada,8-5,78.786,112,1473.26,-22
85,Air Force,5-7,72.615,94,1470.58,-4
86,Southern Miss,6-5,79.583,114,1469.55,-23
87,South Florida,7-6,67.643,81,1461.76,0
88,Mississippi,5-7,57.0,55,1459.08,7
89,San Diego St,7-6,68.5,84,1456.7,-15
90,SMU,5-7,59.0,59,1451.34,2
91,Tennessee,5-7,48.231,19,1451.07,3
92,Western Michigan,7-6,70.786,91,1446.66,-3
93,Colorado,5-7,65.154,74,1445.21,3
94,Louisiana-Lafayette,7-7,69.6,86,1428.32,-10
95,Illinois,4-8,57.923,57,1422.91,7
96,UCLA,3-9,39.692,2,1422.42,3
97,Louisiana-Monroe,6-6,79.846,116,1418.16,-12
98,Kansas,3-9,56.692,54,1417.18,5
99,Hawai`i,8-6,75.667,105,1415.01,-6
100,Western Kentucky,3-9,79.846,115,1405.05,-3
101,UNC-Charlotte,5-7,70.308,90,1403.65,-3
102,Navy,3-10,53.357,43,1399.48,2
103,North Carolina,2-9,56.417,53,1395.84,3
104,Tulsa,3-9,70.231,89,1393.63,1
105,Arkansas,2-10,51.385,30,1392.63,10
106,East Carolina,3-9,61.692,63,1386.39,2
107,Massachusetts,4-8,69.0,85,1385.44,0
108,Coastal Carolina,5-7,72.846,95,1379.08,-8
109,Rutgers,1-11,46.846,16,1372.69,13
110,Louisville,2-10,42.769,5,1370.32,13
111,UNLV,4-8,78.308,111,1368.12,-10
112,Old Dominion,4-8,81.923,123,1367.89,-1
113,New Mexico,3-9,71.462,92,1366.42,1
114,Ball St,4-8,73.769,101,1364.47,-4
115,Colorado St,3-9,73.308,99,1359.62,1
116,Oregon St,2-10,51.077,28,1350.42,9
117,Akron,4-8,70.0,87,1347.42,-4
118,Texas-San Antonio,3-9,70.077,88,1344.85,-6
119,Bowling Green,3-9,73.769,100,1339.61,-2
120,Texas St-San Marcos,3-9,83.154,126,1330.73,-11
121,Georgia St,2-10,67.077,80,1328.0,-1
122,Kent St,2-10,73.231,98,1327.96,-3
123,New Mexico St,3-9,82.231,125,1323.96,4
124,Central Michigan,1-11,76.385,106,1319.97,2
125,San José St,1-11,61.154,62,1314.43,-4
126,South Alabama,3-9,67.923,82,1313.69,-8
127,Rice,2-11,72.857,96,1307.4,-3
128,Connecticut,1-11,57.769,56,1294.84,1
129,UTEP,1-11,86.692,128,1275.6,-1
