Date,Team,Opponent,Location,Neutral Site Location
8/25/2018,Colorado St.,Hawaii,H,
8/25/2018,Hawaii,Colorado St.,A,
8/25/2018,Massachusetts,Duquesne,H,
8/25/2018,Rice,Prairie View,H,
8/25/2018,New Mexico St.,Wyoming,H,
8/25/2018,Wyoming,New Mexico St.,A,
8/30/2018,Oklahoma St.,Missouri St.,H,
8/30/2018,San Jose St.,UC Davis,H,
8/30/2018,UAB,Savannah St.,H,
8/30/2018,Georgia St.,Kennesaw St.,H,
8/30/2018,Tulane,Wake Forest,H,
8/30/2018,Wake Forest,Tulane,A,
8/30/2018,La.-Monroe,Southeastern La.,H,
8/30/2018,Minnesota,New Mexico St.,H,
8/30/2018,New Mexico St.,Minnesota,A,
8/30/2018,Utah,Weber St.,H,
8/30/2018,UCF,UConn,A,
8/30/2018,UConn,UCF,H,
8/30/2018,Ball St.,Central Conn. St.,H,
8/30/2018,Northwestern,Purdue,A,
8/30/2018,Purdue,Northwestern,H,
8/30/2018,Texas A&M,Northwestern St.,H,
8/31/2018,Western Ky.,Wisconsin,A,
8/31/2018,Wisconsin,Western Ky.,H,
8/31/2018,Duke,Army West Point,H,
8/31/2018,Army West Point,Duke,A,
8/31/2018,San Diego St.,Stanford,A,
8/31/2018,Stanford,San Diego St.,H,
8/31/2018,Nevada,Portland St.,H,
8/31/2018,Syracuse,Western Mich.,A,
8/31/2018,Western Mich.,Syracuse,H,
8/31/2018,Michigan St.,Utah St.,H,
8/31/2018,Utah St.,Michigan St.,A,
8/31/2018,Colorado St.,Colorado,N,"Denver, Colo."
8/31/2018,Colorado,Colorado St.,N,"Denver, Colo."
8/31/2018,Eastern Mich.,Monmouth,H,
9/1/2018,Air Force,Stony Brook,H,
9/1/2018,UCLA,Cincinnati,H,
9/1/2018,Cincinnati,UCLA,A,
9/1/2018,Missouri,UT Martin,H,
9/1/2018,Louisiana,Grambling,H,
9/1/2018,Marshall,Miami (OH),A,
9/1/2018,Miami (OH),Marshall,H,
9/1/2018,North Texas,SMU,H,
9/1/2018,SMU,North Texas,A,
9/1/2018,South Carolina,Coastal Caro.,H,
9/1/2018,Baylor,Abilene Christian,H,
9/1/2018,TCU,Southern U.,H,
9/1/2018,Houston,Rice,A,
9/1/2018,Rice,Houston,H,
9/1/2018,UNLV,Southern California,A,
9/1/2018,Southern California,UNLV,H,
9/1/2018,Temple,Villanova,H,
9/1/2018,Rutgers,Texas St.,H,
9/1/2018,Texas St.,Rutgers,A,
9/1/2018,Memphis,Mercer,H,
9/1/2018,Kansas St.,South Dakota,H,
9/1/2018,Fresno St.,Idaho,H,
9/1/2018,Idaho,Fresno St.,A,
9/1/2018,Pittsburgh,Albany (NY),H,
9/1/2018,Charlotte,Fordham,H,
9/1/2018,NC State,James Madison,H,
9/1/2018,Arizona,BYU,H,
9/1/2018,BYU,Arizona,A,
9/1/2018,Iowa St.,South Dakota St.,H,
9/1/2018,UTEP,Northern Ariz.,H,
9/1/2018,Southern Miss.,Jackson St.,H,
9/1/2018,East Carolina,N.C. A&T,H,
9/1/2018,New Mexico,Incarnate Word,H,
9/1/2018,Arizona St.,UTSA,H,
9/1/2018,UTSA,Arizona St.,A,
9/1/2018,Appalachian St.,Penn St.,A,
9/1/2018,Penn St.,Appalachian St.,H,
9/1/2018,Florida,Charleston So.,H,
9/1/2018,Washington St.,Wyoming,A,
9/1/2018,Wyoming,Washington St.,H,
9/1/2018,Old Dominion,Liberty,A,
9/1/2018,Arkansas,Eastern Ill.,H,
9/1/2018,Arkansas St.,Southeast Mo. St.,H,
9/1/2018,FIU,Indiana,H,
9/1/2018,Indiana,FIU,A,
9/1/2018,California,North Carolina,H,
9/1/2018,North Carolina,California,A,
9/1/2018,Georgia Tech,Alcorn,H,
9/1/2018,Middle Tenn.,Vanderbilt,H,
9/1/2018,Vanderbilt,Middle Tenn.,A,
9/1/2018,Kansas,Nicholls St.,H,
9/1/2018,Louisiana Tech,South Alabama,A,
9/1/2018,South Alabama,Louisiana Tech,H,
9/1/2018,Boise St.,Troy,A,
9/1/2018,Troy,Boise St.,H,
9/1/2018,Ohio St.,Oregon St.,H,
9/1/2018,Oregon St.,Ohio St.,A,
9/1/2018,Akron,Nebraska,A,
9/1/2018,Nebraska,Akron,H,
9/1/2018,Iowa,Northern Ill.,H,
9/1/2018,Northern Ill.,Iowa,A,
9/1/2018,Central Mich.,Kentucky,A,
9/1/2018,Kentucky,Central Mich.,H,
9/1/2018,Fla. Atlantic,Oklahoma,A,
9/1/2018,Oklahoma,Fla. Atlantic,H,
9/1/2018,Michigan,Notre Dame,A,
9/1/2018,Notre Dame,Michigan,H,
9/1/2018,Clemson,Furman,H,
9/1/2018,Auburn,Washington,N,"Atlanta, GA"
9/1/2018,Washington,Auburn,N,"Atlanta, GA"
9/1/2018,Ole Miss,Texas Tech,N,"Houston, TX"
9/1/2018,Texas Tech,Ole Miss,N,"Houston, TX"
9/1/2018,Alabama,Louisville,N,"Orlando, FL"
9/1/2018,Louisville,Alabama,N,"Orlando, FL"
9/1/2018,Illinois,Kent St.,H,
9/1/2018,Kent St.,Illinois,A,
9/1/2018,Maryland,Texas,H,
9/1/2018,Texas,Maryland,A,
9/1/2018,Boston College,Massachusetts,H,
9/1/2018,Massachusetts,Boston College,A,
9/1/2018,Ohio,Howard,H,
9/1/2018,Georgia,Austin Peay,H,
9/1/2018,Tennessee,West Virginia,N,"Charlotte, N.C."
9/1/2018,West Virginia,Tennessee,N,"Charlotte, N.C."
9/1/2018,Hawaii,Navy,H,
9/1/2018,Navy,Hawaii,A,
9/1/2018,Bowling Green,Oregon,A,
9/1/2018,Oregon,Bowling Green,H,
9/1/2018,Ga. Southern,South Carolina St.,H,
9/1/2018,Tulsa,Central Ark.,H,
9/1/2018,Buffalo,Delaware St.,H,
9/1/2018,Virginia,Richmond,H,
9/1/2018,South Fla.,Elon,H,
9/1/2018,Mississippi St.,SFA,H,
9/1/2018,Toledo,VMI,H,
9/2/2018,LSU,Miami (FL),N,"Arlington, TX"
9/2/2018,Miami (FL),LSU,N,"Arlington, TX"
9/3/2018,Florida St.,Virginia Tech,H,
9/3/2018,Virginia Tech,Florida St.,A,
9/7/2018,SMU,TCU,H,
9/7/2018,TCU,SMU,A,
9/8/2018,Akron,Morgan St.,H,
9/8/2018,Indiana,Virginia,H,
9/8/2018,Virginia,Indiana,A,
9/8/2018,Florida St.,Samford,H,
9/8/2018,Missouri,Wyoming,H,
9/8/2018,Wyoming,Missouri,A,
9/8/2018,FIU,Old Dominion,A,
9/8/2018,Old Dominion,FIU,H,
9/8/2018,Texas Tech,Lamar University,H,
9/8/2018,New Mexico,Wisconsin,A,
9/8/2018,Wisconsin,New Mexico,H,
9/8/2018,UAB,Coastal Caro.,A,
9/8/2018,Baylor,UTSA,A,
9/8/2018,UTSA,Baylor,H,
9/8/2018,Oklahoma St.,South Alabama,H,
9/8/2018,South Alabama,Oklahoma St.,A,
9/8/2018,Cincinnati,Miami (OH),A,
9/8/2018,Miami (OH),Cincinnati,H,
9/8/2018,North Texas,Incarnate Word,H,
9/8/2018,Syracuse,Wagner,H,
9/8/2018,New Mexico St.,Utah St.,A,
9/8/2018,Utah St.,New Mexico St.,H,
9/8/2018,Wake Forest,Towson,H,
9/8/2018,Georgia,South Carolina,A,
9/8/2018,South Carolina,Georgia,H,
9/8/2018,Army West Point,Liberty,H,
9/8/2018,Marshall,Eastern Ky.,H,
9/8/2018,Southern California,Stanford,A,
9/8/2018,Stanford,Southern California,H,
9/8/2018,Louisiana Tech,Southern U.,H,
9/8/2018,Auburn,Alabama St.,H,
9/8/2018,UNLV,UTEP,H,
9/8/2018,UTEP,UNLV,A,
9/8/2018,Penn St.,Pittsburgh,A,
9/8/2018,Pittsburgh,Penn St.,H,
9/8/2018,Appalachian St.,Charlotte,A,
9/8/2018,Charlotte,Appalachian St.,H,
9/8/2018,Alabama,Arkansas St.,H,
9/8/2018,Arkansas St.,Alabama,A,
9/8/2018,Georgia St.,NC State,A,
9/8/2018,NC State,Georgia St.,H,
9/8/2018,Arizona,Houston,A,
9/8/2018,Houston,Arizona,H,
9/8/2018,La.-Monroe,Southern Miss.,A,
9/8/2018,Southern Miss.,La.-Monroe,H,
9/8/2018,East Carolina,North Carolina,H,
9/8/2018,North Carolina,East Carolina,A,
9/8/2018,Arizona St.,Michigan St.,H,
9/8/2018,Michigan St.,Arizona St.,A,
9/8/2018,Boston College,Holy Cross,H,
9/8/2018,Bowling Green,Maryland,H,
9/8/2018,Maryland,Bowling Green,A,
9/8/2018,Florida,Kentucky,H,
9/8/2018,Kentucky,Florida,A,
9/8/2018,Idaho,Western N.M.,H,
9/8/2018,BYU,California,H,
9/8/2018,California,BYU,A,
9/8/2018,UCLA,Oklahoma,A,
9/8/2018,Oklahoma,UCLA,H,
9/8/2018,UCF,South Carolina St.,H,
9/8/2018,Iowa St.,Iowa,A,
9/8/2018,Iowa,Iowa St.,H,
9/8/2018,Central Mich.,Kansas,H,
9/8/2018,Kansas,Central Mich.,A,
9/8/2018,Tulane,Nicholls St.,H,
9/8/2018,Fla. Atlantic,Air Force,H,
9/8/2018,Air Force,Fla. Atlantic,A,
9/8/2018,LSU,Southeastern La.,H,
9/8/2018,Louisville,Indiana St.,H,
9/8/2018,Ohio St.,Rutgers,H,
9/8/2018,Rutgers,Ohio St.,A,
9/8/2018,Troy,Florida A&M,H,
9/8/2018,Michigan,Western Mich.,H,
9/8/2018,Western Mich.,Michigan,A,
9/8/2018,Fresno St.,Minnesota,A,
9/8/2018,Minnesota,Fresno St.,H,
9/8/2018,Colorado,Nebraska,A,
9/8/2018,Nebraska,Colorado,H,
9/8/2018,Memphis,Navy,A,
9/8/2018,Navy,Memphis,H,
9/8/2018,San Jose St.,Washington St.,A,
9/8/2018,Washington St.,San Jose St.,H,
9/8/2018,Georgia Tech,South Fla.,A,
9/8/2018,South Fla.,Georgia Tech,H,
9/8/2018,Oregon St.,Southern Utah,H,
9/8/2018,Washington,North Dakota,H,
9/8/2018,Clemson,Texas A&M,A,
9/8/2018,Texas A&M,Clemson,H,
9/8/2018,Nevada,Vanderbilt,A,
9/8/2018,Vanderbilt,Nevada,H,
9/8/2018,Ball St.,Notre Dame,A,
9/8/2018,Notre Dame,Ball St.,H,
9/8/2018,Western Ky.,Maine,H,
9/8/2018,Miami (FL),Savannah St.,H,
9/8/2018,Duke,Northwestern,A,
9/8/2018,Northwestern,Duke,H,
9/8/2018,Kansas St.,Mississippi St.,H,
9/8/2018,Mississippi St.,Kansas St.,A,
9/8/2018,Oregon,Portland St.,H,
9/8/2018,Eastern Mich.,Purdue,A,
9/8/2018,Purdue,Eastern Mich.,H,
9/8/2018,Virginia Tech,William & Mary,H,
9/8/2018,Ole Miss,Southern Ill.,H,
9/8/2018,Buffalo,Temple,A,
9/8/2018,Temple,Buffalo,H,
9/8/2018,Kent St.,Howard,H,
9/8/2018,Tennessee,ETSU,H,
9/8/2018,Arkansas,Colorado St.,A,
9/8/2018,Colorado St.,Arkansas,H,
9/8/2018,Northern Ill.,Utah,H,
9/8/2018,Utah,Northern Ill.,A,
9/8/2018,Ga. Southern,Massachusetts,H,
9/8/2018,Massachusetts,Ga. Southern,A,
9/8/2018,Hawaii,Rice,H,
9/8/2018,Rice,Hawaii,A,
9/8/2018,Texas St.,Texas Southern,H,
9/8/2018,San Diego St.,Sacramento St.,H,
9/8/2018,Middle Tenn.,UT Martin,H,
9/8/2018,West Virginia,Youngstown St.,H,
9/8/2018,Illinois,Western Ill.,H,
9/8/2018,Texas,Tulsa,H,
9/8/2018,Tulsa,Texas,A,
9/8/2018,Boise St.,UConn,H,
9/8/2018,UConn,Boise St.,A,
9/13/2018,Utah St.,Tennessee Tech,H,
9/13/2018,Boston College,Wake Forest,A,
9/13/2018,Wake Forest,Boston College,H,
9/14/2018,Georgia St.,Memphis,A,
9/14/2018,Memphis,Georgia St.,H,
9/15/2018,Miami (FL),Toledo,A,
9/15/2018,Toledo,Miami (FL),H,
9/15/2018,Ball St.,Indiana,A,
9/15/2018,Indiana,Ball St.,H,
9/15/2018,Fresno St.,UCLA,A,
9/15/2018,UCLA,Fresno St.,H,
9/15/2018,Houston,Texas Tech,A,
9/15/2018,Texas Tech,Houston,H,
9/15/2018,BYU,Wisconsin,A,
9/15/2018,Wisconsin,BYU,H,
9/15/2018,Boise St.,Oklahoma St.,A,
9/15/2018,Oklahoma St.,Boise St.,H,
9/15/2018,UAB,Tulane,H,
9/15/2018,Tulane,UAB,A,
9/15/2018,Florida St.,Syracuse,A,
9/15/2018,Syracuse,Florida St.,H,
9/15/2018,Marshall,South Carolina,A,
9/15/2018,South Carolina,Marshall,H,
9/15/2018,Baylor,Duke,H,
9/15/2018,Duke,Baylor,A,
9/15/2018,Hawaii,Army West Point,A,
9/15/2018,Army West Point,Hawaii,H,
9/15/2018,Stanford,UC Davis,H,
9/15/2018,Auburn,LSU,H,
9/15/2018,LSU,Auburn,A,
9/15/2018,UNLV,Prairie View,H,
9/15/2018,Kansas St.,UTSA,H,
9/15/2018,UTSA,Kansas St.,A,
9/15/2018,Georgia Tech,Pittsburgh,A,
9/15/2018,Pittsburgh,Georgia Tech,H,
9/15/2018,Charlotte,Old Dominion,H,
9/15/2018,Old Dominion,Charlotte,A,
9/15/2018,NC State,West Virginia,H,
9/15/2018,West Virginia,NC State,A,
9/15/2018,Arizona,Southern Utah,H,
9/15/2018,Iowa St.,Oklahoma,H,
9/15/2018,Oklahoma,Iowa St.,A,
9/15/2018,Nevada,Oregon St.,H,
9/15/2018,Oregon St.,Nevada,A,
9/15/2018,Appalachian St.,Southern Miss.,H,
9/15/2018,Southern Miss.,Appalachian St.,A,
9/15/2018,Western Mich.,Delaware St.,H,
9/15/2018,Kent St.,Penn St.,A,
9/15/2018,Penn St.,Kent St.,H,
9/15/2018,Central Mich.,Northern Ill.,A,
9/15/2018,Northern Ill.,Central Mich.,H,
9/15/2018,Colorado St.,Florida,A,
9/15/2018,Florida,Colorado St.,H,
9/15/2018,Arizona St.,San Diego St.,A,
9/15/2018,San Diego St.,Arizona St.,H,
9/15/2018,Arkansas,North Texas,H,
9/15/2018,North Texas,Arkansas,A,
9/15/2018,California,Idaho St.,H,
9/15/2018,UCF,North Carolina,A,
