Team,Week,ELO,Rank
Purdue,17,1531.83,50
Wake Forest,17,1528.52,51
Buffalo,17,1526.95,52
Miami FL,17,1526.77,53
Arizona St,17,1526.7,54
Brigham Young,17,1526.63,55
TCU,17,1523.59,56
Pittsburgh,17,1522.16,57
Houston,17,1519.84,58
Georgia Tech,17,1511.54,59
Tulane,17,1509.5,60
Baylor,17,1508.72,61
Kansas St,17,1506.04,62
Middle Tennessee St,17,1505.8,63
North Texas,17,1505.59,64
Maryland,17,1505.18,65
South Carolina,17,1502.1,66
Arizona,17,1501.45,67
Toledo,17,1499.75,68
Vanderbilt,17,1495.64,69
Miami OH,17,1495.35,70
Eastern Michigan,17,1494.29,71
Southern Cal,17,1492.62,72
Arkansas St,17,1492.43,73
California,17,1491.72,74
Nebraska,17,1491.09,75
Wyoming,17,1490.48,76
Indiana,17,1486.37,77
Texas Tech,17,1479.73,78
Florida St,17,1477.5,79
Virginia Tech,17,1475.63,80
Northern Illinois,17,1475.37,81
Florida Atlantic,17,1474.25,82
Louisiana Tech,17,1473.28,83
Nevada,17,1473.26,84
Air Force,17,1470.58,85
Southern Miss,17,1469.55,86
South Florida,17,1461.76,87
Mississippi,17,1459.08,88
San Diego St,17,1456.7,89
SMU,17,1451.34,90
Tennessee,17,1451.07,91
Western Michigan,17,1446.66,92
Colorado,17,1445.21,93
Louisiana-Lafayette,17,1428.32,94
Illinois,17,1422.91,95
UCLA,17,1422.42,96
Louisiana-Monroe,17,1418.16,97
Kansas,17,1417.18,98
Hawai`i,17,1415.01,99
Western Kentucky,17,1405.05,100
UNC-Charlotte,17,1403.65,101
Navy,17,1399.48,102
North Carolina,17,1395.84,103
Tulsa,17,1393.63,104
Arkansas,17,1392.63,105
East Carolina,17,1386.39,106
Massachusetts,17,1385.44,107
Coastal Carolina,17,1379.08,108
Rutgers,17,1372.69,109
Louisville,17,1370.32,110
UNLV,17,1368.12,111
Old Dominion,17,1367.89,112
New Mexico,17,1366.42,113
Ball St,17,1364.47,114
Colorado St,17,1359.62,115
Oregon St,17,1350.42,116
Akron,17,1347.42,117
Texas-San Antonio,17,1344.85,118
Bowling Green,17,1339.61,119
Texas St-San Marcos,17,1330.73,120
Georgia St,17,1328.0,121
Kent St,17,1327.96,122
New Mexico St,17,1323.96,123
Central Michigan,17,1319.97,124
San José St,17,1314.43,125
South Alabama,17,1313.69,126
Rice,17,1307.4,127
Connecticut,17,1294.84,128
UTEP,17,1275.6,129
