Rank,Team,Record,SoS,SoS Rank,ELO,Change
107,Georgia Tech,1-3,47.6,17,1452.23,-11
108,Nebraska,0-3,23.25,2,1444.38,-5
109,UNC-Charlotte,2-2,79.2,114,1444.01,-8
110,Tulsa,1-3,51.0,30,1443.66,-5
111,Central Michigan,1-3,63.4,80,1443.06,11
112,Texas-San Antonio,1-3,62.8,77,1442.5,13
113,Rutgers,1-3,41.0,11,1440.41,-7
114,UCLA,0-3,12.5,1,1438.55,9
115,SMU,1-3,35.4,6,1438.27,9
116,Ball St,1-3,55.4,44,1435.78,-5
117,Old Dominion,1-3,73.8,106,1435.74,11
118,Arkansas,1-3,59.6,63,1435.39,-9
119,Texas St-San Marcos,1-3,91.0,128,1433.74,-2
120,Oregon St,1-3,60.8,68,1432.76,-10
121,Kent St,1-3,54.4,40,1431.1,-8
122,Rice,1-3,54.2,39,1429.37,-6
123,Georgia St,1-3,50.6,25,1427.28,-9
124,Connecticut,1-3,37.2,10,1425.55,-5
125,San José St,0-3,49.25,21,1423.75,2
126,Bowling Green,1-3,60.2,66,1421.26,-5
127,New Mexico St,1-4,61.833,72,1420.57,2
128,Idaho,1-2,70.75,98,1417.18,-26
129,Colorado St,1-4,58.667,60,1415.71,-14
130,UTEP,0-4,86.2,124,1386.88,0
