Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
37,Miami FL,(6-4),1576.62,1516,52,N/A,ACC Coastal,True
38,Wyoming,(6-3),1576.45,1464,107,N/A,MW Mountain,False
39,Virginia,(7-3),1572.97,1474,99,N/A,ACC Coastal,True
40,San Diego St,(7-2),1569.93,1469,103,N/A,MW West,False
41,Virginia Tech,(6-3),1564.09,1489,79,N/A,ACC Coastal,True
42,Texas,(6-3),1564.0,1536,23,N/A,Big 12,True
43,Tennessee,(5-5),1561.37,1556,6,N/A,SEC East,True
44,Missouri,(5-4),1558.72,1513,55,N/A,SEC East,True
45,Southern Cal,(6-4),1553.92,1540,21,N/A,PAC 12 South,True
46,Tulane,(6-3),1552.84,1479,93,N/A,AAC West,False
47,Boston College,(5-5),1550.53,1519,48,N/A,ACC Atlantic,True
48,Illinois,(6-4),1546.59,1489,79,N/A,Big 10 West,True
49,Western Michigan,(7-4),1541.7,1476,97,N/A,MAC West,False
50,Georgia St,(6-3),1540.56,1487,84,N/A,Sun Belt East,False
51,Louisiana Tech,(8-1),1540.33,1373,189,N/A,CUSA West,False
52,Florida St,(5-5),1537.4,1556,6,N/A,ACC Atlantic,True
53,TCU,(4-5),1530.39,1544,16,N/A,Big 12,True
54,Buffalo,(5-4),1529.38,1470,102,N/A,MAC East,False
55,Michigan St,(4-5),1528.59,1569,2,N/A,Big 10 East,True
56,Kentucky,(4-5),1526.26,1536,23,N/A,SEC East,True
57,Pittsburgh,(6-3),1526.06,1522,45,N/A,ACC Coastal,True
58,Montana,(8-2),1524.36,1408,142,N/A,Big Sky,False
59,Washington St,(4-5),1524.04,1481,91,N/A,PAC 12 North,True
60,Temple,(6-3),1524.0,1493,74,N/A,AAC East,False
61,Princeton,(7-1),1521.58,1352,208,N/A,Ivy League,False
62,Mississippi,(4-6),1521.0,1527,35,N/A,SEC West,True
63,Troy,(4-5),1520.04,1453,115,N/A,Sun Belt East,False
64,Texas Tech,(4-5),1519.99,1509,60,N/A,Big 12,True
65,Weber St,(8-2),1519.13,1372,191,N/A,Big Sky,False
66,Florida Atlantic,(7-3),1517.11,1443,121,N/A,CUSA East,False
67,California,(5-4),1516.59,1530,31,N/A,PAC 12 North,True
68,Brigham Young,(5-4),1516.57,1553,11,N/A,Independent,False
69,Liberty,(6-4),1515.57,1424,131,N/A,Independent,False
70,Mississippi St,(4-5),1513.89,1556,6,N/A,SEC West,True
71,Central Michigan,(6-4),1513.03,1447,118,N/A,MAC West,False
72,San Diego,(7-2),1512.04,1359,201,N/A,Pioneer,False
73,Hawai`i,(6-4),1511.0,1499,72,N/A,MW West,False
74,South Carolina,(4-6),1508.71,1558,5,N/A,SEC East,True
75,Oregon St,(4-5),1507.57,1508,62,N/A,PAC 12 North,True
76,Arizona St,(5-4),1505.75,1513,55,N/A,PAC 12 South,True
77,North Carolina,(4-5),1505.38,1556,6,N/A,ACC Coastal,True
78,Louisville,(5-4),1504.4,1562,4,N/A,ACC Atlantic,True
79,Central Conn St,(9-1),1503.9,1267,252,N/A,NEC,False
80,Furman,(7-3),1503.7,1385,173,N/A,Southern,False
81,South Dakota St,(7-3),1503.48,1399,151,N/A,MVFC,False
82,Utah St,(5-4),1501.53,1543,18,N/A,MW Mountain,False
83,UCLA,(4-5),1500.82,1533,26,N/A,PAC 12 South,True
84,Arkansas St,(5-4),1500.55,1510,59,N/A,Sun Belt West,False
85,Northern Iowa,(7-3),1498.98,1416,135,N/A,MVFC,False
86,Fresno St,(4-5),1498.54,1501,68,N/A,MW West,False
87,Yale,(7-1),1497.38,1378,185,N/A,Ivy League,False
88,Austin Peay,(7-3),1492.77,1367,195,N/A,OVC,False
89,Nebraska,(4-5),1492.04,1516,52,N/A,Big 10 West,True
90,Georgia Southern,(5-4),1489.77,1522,45,N/A,Sun Belt East,False
91,Duke,(4-5),1487.53,1519,48,N/A,ACC Coastal,True
92,Colorado St,(4-5),1486.61,1443,121,N/A,MW Mountain,False
93,Purdue,(4-6),1486.25,1527,35,N/A,Big 10 West,True
94,Illinois St,(7-3),1485.9,1390,165,N/A,MVFC,False
95,Kennesaw St,(8-2),1485.45,1296,244,N/A,Big South,False
96,Stanford,(4-5),1485.08,1531,30,N/A,PAC 12 North,True
97,Army,(4-6),1484.85,1443,121,N/A,Independent,False
98,Monmouth NJ,(8-2),1484.66,1362,199,N/A,Big South,False
99,Villanova,(7-3),1483.63,1381,180,N/A,CAA,False
100,South Florida,(4-5),1479.63,1503,64,N/A,AAC East,False
101,North Carolina St,(4-5),1478.45,1503,64,N/A,ACC Atlantic,True
102,Toledo,(6-3),1478.16,1455,114,N/A,MAC West,False
103,Southern Miss,(6-3),1476.96,1445,120,N/A,CUSA West,False
104,Sacramento St,(7-3),1476.92,1384,174,N/A,Big Sky,False
105,San José St,(4-6),1473.83,1472,100,N/A,MW West,False
106,Louisiana-Monroe,(4-5),1473.34,1509,60,N/A,Sun Belt West,False
107,Ohio U.,(4-6),1472.54,1468,105,N/A,MAC East,False
108,SE Louisiana,(6-3),1470.68,1355,205,N/A,Southland,False
109,Montana St,(7-3),1470.15,1322,233,N/A,Big Sky,False
110,Western Kentucky,(6-4),1468.96,1431,127,N/A,CUSA East,False
111,Coastal Carolina,(4-5),1466.53,1482,90,N/A,Sun Belt East,False
112,Nevada,(6-4),1466.26,1492,76,N/A,MW West,False
113,Miami OH,(5-4),1466.06,1516,52,N/A,MAC East,False
114,Kansas,(3-6),1465.35,1525,42,N/A,Big 12,True
115,Southern Illinois,(6-4),1464.65,1402,148,N/A,MVFC,False
116,Ball St,(4-5),1463.71,1469,103,N/A,MAC West,False
117,Wofford,(6-3),1458.8,1382,177,N/A,Southern,False
118,Sam Houston St,(6-4),1458.33,1311,237,N/A,Southland,False
119,Florida A&M,(8-1),1456.85,1343,214,N/A,MEAC,False
120,Syracuse,(3-6),1456.57,1528,33,N/A,ACC Atlantic,True
121,Maryland,(3-7),1454.28,1544,16,N/A,Big 10 East,True
122,Houston,(3-6),1452.68,1523,44,N/A,AAC West,False
123,Towson,(6-4),1451.26,1430,128,N/A,CAA,False
124,West Virginia,(3-6),1450.88,1567,3,N/A,Big 12,True
125,Arizona,(4-5),1450.24,1497,73,N/A,PAC 12 South,True
126,Marshall,(6-3),1447.42,1436,125,N/A,CUSA East,False
127,South Carolina St,(6-3),1445.82,1334,225,N/A,MEAC,False
128,Albany NY,(6-4),1444.67,1374,188,N/A,CAA,False
129,Eastern Michigan,(5-5),1443.3,1480,92,N/A,MAC West,False
130,SE Missouri St,(7-3),1441.7,1387,168,N/A,OVC,False
131,Campbell,(6-3),1441.15,1338,221,N/A,Big South,False
132,Harvard,(4-4),1438.24,1399,151,N/A,Ivy League,False
133,Alabama-Birmingham,(6-3),1434.34,1371,193,N/A,CUSA West,False
134,North Carolina A&T,(6-3),1432.49,1345,212,N/A,MEAC,False
135,Colorado,(4-6),1432.4,1528,33,N/A,PAC 12 South,True
136,The Citadel,(6-4),1430.6,1366,196,N/A,Southern,False
137,Davidson,(7-3),1430.35,1282,249,N/A,Pioneer,False
138,Dayton,(6-3),1425.64,1343,214,N/A,Pioneer,False
139,Kent St,(3-6),1425.26,1486,85,N/A,MAC East,False
140,Alcorn St,(6-3),1423.45,1291,247,N/A,SWAC East,False
141,Tulsa,(3-7),1422.75,1583,1,N/A,AAC West,False
142,Maine,(5-5),1422.43,1413,136,N/A,CAA,False
143,Tennessee-Martin,(6-4),1421.0,1394,157,N/A,OVC,False
144,New Hampshire,(5-4),1418.25,1408,142,N/A,CAA,False
145,Bethune-Cookman,(6-3),1414.98,1300,242,N/A,MEAC,False
146,Richmond,(5-5),1413.96,1400,149,N/A,CAA,False
147,Northwestern,(1-8),1413.53,1553,11,N/A,Big 10 West,True
148,Nicholls St,(6-4),1412.14,1375,187,N/A,Southland,False
149,East Carolina,(3-7),1411.85,1486,85,N/A,AAC East,False
150,South Dakota,(4-6),1408.35,1394,157,N/A,MVFC,False
151,Arkansas,(2-8),1408.07,1533,26,N/A,SEC West,True
152,McNeese St,(6-4),1404.93,1390,165,N/A,Southland,False
153,UC-Davis,(5-5),1404.54,1396,155,N/A,Big Sky,False
154,Grambling St,(5-4),1403.74,1357,204,N/A,SWAC West,False
155,Northern Illinois,(3-6),1403.16,1477,95,N/A,MAC West,False
156,Abilene Christian,(5-5),1401.36,1344,213,N/A,Southland,False
157,Vanderbilt,(2-7),1401.09,1547,14,N/A,SEC East,True
158,Florida Int'l,(5-5),1401.07,1404,146,N/A,CUSA East,False
159,Robert Morris PA,(6-4),1401.02,1311,237,N/A,NEC,False
160,Georgia Tech,(2-7),1398.69,1538,22,N/A,ACC Coastal,True
161,Eastern Washington,(5-5),1398.68,1340,220,N/A,Big Sky,False
162,Rutgers,(2-7),1397.56,1541,20,N/A,Big 10 East,True
163,Chattanooga,(5-5),1396.89,1400,149,N/A,Southern,False
164,Southern U.,(6-4),1395.82,1332,227,N/A,SWAC West,False
165,Central Arkansas,(7-3),1395.25,1413,136,N/A,Southland,False
166,Youngstown St,(5-5),1394.7,1410,139,N/A,MVFC,False
167,Stetson,(6-3),1393.27,1244,254,N/A,Pioneer,False
168,Bowling Green,(3-6),1393.14,1457,111,N/A,MAC East,False
169,Eastern Kentucky,(5-5),1389.94,1343,214,N/A,OVC,False
170,Not FBS,(0-0),1387.89,1500,69,N/A,FCS,False
171,UNC-Charlotte,(5-5),1387.57,1432,126,N/A,CUSA East,False
172,UNLV,(2-7),1387.2,1491,77,N/A,MW West,False
173,Drake,(5-4),1386.28,1275,251,N/A,Pioneer,False
174,Elon,(4-6),1385.8,1437,124,N/A,CAA,False
175,LIU Post,(0-0),1385.62,1500,69,N/A,NEC,False
176,Duquesne,(6-3),1385.49,1313,235,N/A,NEC,False
177,Georgetown DC,(5-4),1384.77,1295,245,N/A,Patriot,False
178,Sacred Heart,(6-4),1384.36,1312,236,N/A,NEC,False
179,Texas St-San Marcos,(3-6),1382.49,1519,48,N/A,Sun Belt West,False
180,North Texas,(4-6),1380.25,1430,128,N/A,CUSA West,False
181,Columbia,(3-5),1375.47,1452,116,N/A,Ivy League,False
182,Stony Brook,(5-5),1374.32,1393,162,N/A,CAA,False
183,Middle Tennessee St,(3-6),1374.16,1459,110,N/A,CUSA East,False
184,Jacksonville St,(6-5),1374.11,1372,191,N/A,OVC,False
185,Pennsylvania,(4-4),1373.74,1382,177,N/A,Ivy League,False
186,Prairie View A&M,(4-5),1373.05,1327,230,N/A,SWAC West,False
187,William & Mary,(4-6),1369.74,1413,136,N/A,CAA,False
188,Tennessee Tech,(6-4),1368.65,1350,209,N/A,OVC,False
189,Samford,(4-6),1366.79,1386,169,N/A,Southern,False
190,Portland St,(5-6),1364.5,1328,229,N/A,Big Sky,False
191,New Mexico,(2-7),1364.14,1489,79,N/A,MW Mountain,False
192,Norfolk St,(4-6),1363.83,1338,221,N/A,MEAC,False
193,Incarnate Word,(5-5),1363.2,1336,224,N/A,Southland,False
194,Cornell NY,(2-6),1358.31,1382,177,N/A,Ivy League,False
195,Connecticut,(2-8),1357.48,1503,64,N/A,AAC East,False
196,Holy Cross,(5-5),1354.96,1383,176,N/A,Patriot,False
197,Idaho,(4-6),1354.69,1397,154,N/A,Big Sky,False
198,Hampton,(5-5),1353.18,1260,253,N/A,Big South,False
199,Alabama St,(5-4),1352.08,1304,241,N/A,SWAC East,False
200,Alabama A&M,(6-4),1346.54,1281,250,N/A,SWAC East,False
201,Delaware,(4-6),1342.31,1418,133,N/A,CAA,False
202,South Alabama,(1-8),1341.83,1484,87,N/A,Sun Belt West,False
203,Texas-San Antonio,(4-5),1336.76,1418,133,N/A,CUSA West,False
204,Murray St,(4-6),1333.9,1364,198,N/A,OVC,False
205,Indiana St,(3-7),1333.05,1408,142,N/A,MVFC,False
206,Mercer,(4-6),1329.25,1386,169,N/A,Southern,False
207,St Francis PA,(4-6),1319.74,1331,228,N/A,NEC,False
208,Arkansas-Pine Bluff,(5-5),1318.9,1288,248,N/A,SWAC West,False
209,Charleston Southern,(4-6),1318.14,1391,163,N/A,Big South,False
210,Northern Arizona,(4-6),1317.76,1379,181,N/A,Big Sky,False
211,Morehead St,(5-5),1317.18,1293,246,N/A,Pioneer,False
212,VMI,(4-6),1315.46,1359,201,N/A,Southern,False
213,North Carolina Central,(4-6),1314.42,1325,231,N/A,MEAC,False
214,New Mexico St,(0-9),1313.74,1527,35,N/A,Independent,False
215,Houston Baptist,(4-6),1309.91,1320,234,N/A,Southland,False
216,Lehigh,(4-5),1299.66,1311,237,N/A,Patriot,False
217,East Tennessee St,(2-8),1296.43,1398,153,N/A,Southern,False
218,North Alabama,(3-7),1295.63,1379,181,N/A,Big South,False
219,Brown,(1-7),1293.69,1394,157,N/A,Ivy League,False
220,Jackson St,(4-6),1286.48,1300,242,N/A,SWAC East,False
221,Rhode Island,(2-8),1282.61,1377,186,N/A,CAA,False
222,Gardner-Webb,(3-7),1282.56,1365,197,N/A,Big South,False
223,Lafayette,(3-7),1281.52,1379,181,N/A,Patriot,False
224,Marist,(3-6),1279.85,1406,145,N/A,Pioneer,False
225,Lamar,(4-6),1274.43,1342,218,N/A,Southland,False
226,Western Carolina,(3-7),1273.91,1359,201,N/A,Southern,False
227,Old Dominion,(1-9),1272.7,1452,116,N/A,CUSA East,False
228,Fordham,(3-7),1271.83,1373,189,N/A,Patriot,False
229,Northwestern St,(2-8),1270.23,1389,167,N/A,Southland,False
230,Cal Poly SLO,(2-7),1270.03,1394,157,N/A,Big Sky,False
231,Southern Utah,(2-8),1269.83,1394,157,N/A,Big Sky,False
232,Massachusetts,(1-9),1269.57,1429,130,N/A,Independent,False
233,Rice,(0-9),1266.97,1500,69,N/A,CUSA West,False
234,Idaho St,(3-7),1265.22,1354,207,N/A,Big Sky,False
235,Missouri St,(1-8),1263.1,1456,112,N/A,MVFC,False
236,Stephen F. Austin,(2-8),1261.34,1379,181,N/A,Southland,False
237,Western Illinois,(1-9),1260.44,1409,141,N/A,MVFC,False
238,Bucknell,(2-7),1258.33,1386,169,N/A,Patriot,False
239,Morgan St,(2-8),1258.28,1410,139,N/A,MEAC,False
240,Akron,(0-10),1247.5,1447,118,N/A,MAC East,False
241,Colgate,(3-8),1246.18,1391,163,N/A,Patriot,False
242,Eastern Illinois,(1-9),1243.55,1395,156,N/A,OVC,False
243,UTEP,(1-8),1243.33,1421,132,N/A,CUSA West,False
244,Northern Colorado,(2-8),1242.12,1403,147,N/A,Big Sky,False
245,Bryant,(2-8),1241.31,1323,232,N/A,NEC,False
246,Jacksonville FL,(2-8),1235.77,1347,211,N/A,Pioneer,False
247,Tennessee St,(2-8),1235.64,1338,221,N/A,OVC,False
248,Wagner,(1-9),1235.17,1362,199,N/A,NEC,False
249,Butler,(2-8),1232.12,1343,214,N/A,Pioneer,False
250,Presbyterian,(1-9),1219.56,1341,219,N/A,Big South,False
251,Delaware St,(2-8),1216.51,1308,240,N/A,MEAC,False
252,Valparaiso,(1-9),1200.41,1355,205,N/A,Pioneer,False
253,Howard,(1-9),1197.3,1386,169,N/A,MEAC,False
254,Texas Southern,(0-10),1159.75,1334,225,N/A,SWAC West,False
255,Missouri Valley,(3-7),1156.95,1100,255,N/A,SWAC East,False
