Rank,Team,Record,ELO,SoS,SoS Rank,Change
60,Utah St,(3-2),1512.77,1446,45,N/A
61,Toledo,(4-1),1511.7,1384,118,N/A
62,North Carolina,(3-3),1511.26,1534,6,N/A
63,Louisiana Tech,(4-1),1508.59,1375,123,N/A
64,Syracuse,(3-2),1507.05,1359,126,N/A
65,Air Force,(3-2),1505.59,1429,72,N/A
66,Colorado,(3-2),1503.25,1508,21,N/A
67,Coastal Carolina,(3-2),1502.26,1408,93,N/A
68,Kentucky,(2-3),1500.63,1521,13,N/A
69,South Carolina,(2-3),1500.56,1463,34,N/A
70,Stanford,(3-3),1500.52,1533,7,N/A
71,Illinois,(2-3),1499.7,1462,35,N/A
72,Louisville,(3-2),1499.32,1438,54,N/A
73,Fresno St,(2-2),1495.19,1390,114,N/A
74,Arkansas,(2-3),1494.88,1404,98,N/A
75,Pittsburgh,(4-2),1494.53,1464,33,N/A
76,Virginia Tech,(3-2),1493.87,1411,88,N/A
77,Georgia St,(3-2),1492.63,1389,116,N/A
78,Oregon St,(2-3),1492.3,1415,85,N/A
79,Western Kentucky,(3-2),1489.98,1404,98,N/A
80,Florida Atlantic,(3-2),1489.31,1440,50,N/A
81,Miami FL,(2-3),1483.28,1434,65,N/A
82,Troy,(2-3),1479.29,1399,103,N/A
83,Southern Miss,(3-2),1477.45,1443,46,N/A
84,San José St,(3-2),1474.97,1402,102,N/A
85,Western Michigan,(3-3),1471.96,1440,50,N/A
86,Houston,(2-3),1470.66,1437,56,N/A
87,Northwestern,(1-4),1470.37,1527,10,N/A
88,South Florida,(2-3),1466.29,1423,78,N/A
89,Kansas,(2-4),1464.2,1469,29,N/A
90,Arkansas St,(3-3),1462.97,1447,44,N/A
91,Purdue,(1-4),1462.77,1525,11,N/A
92,Central Michigan,(3-3),1461.7,1418,83,N/A
93,Florida Int'l,(2-3),1461.23,1394,107,N/A
94,Georgia Southern,(2-3),1460.75,1428,73,N/A
95,Brigham Young,(2-3),1459.92,1525,11,N/A
96,Tulsa,(2-3),1459.71,1551,1,N/A
97,Nevada,(3-2),1455.25,1419,82,N/A
98,Tennessee,(1-4),1454.24,1457,38,N/A
99,Eastern Michigan,(3-2),1453.01,1417,84,N/A
100,Louisiana-Monroe,(2-3),1448.0,1430,67,N/A
101,North Texas,(2-3),1447.84,1409,90,N/A
102,UNC-Charlotte,(2-3),1445.98,1436,59,N/A
103,Miami OH,(2-3),1445.15,1459,37,N/A
104,Middle Tennessee St,(2-3),1444.86,1441,48,N/A
105,Ohio U.,(2-3),1443.5,1397,105,N/A
106,East Carolina,(3-3),1442.96,1360,125,N/A
107,Vanderbilt,(1-4),1440.32,1532,8,N/A
108,Kent St,(2-3),1439.06,1451,42,N/A
109,Ball St,(2-3),1437.11,1403,101,N/A
110,Marshall,(2-3),1436.5,1420,79,N/A
111,Buffalo,(2-4),1432.48,1376,122,N/A
112,New Mexico,(2-3),1428.4,1332,128,N/A
113,Rutgers,(1-4),1427.63,1515,18,N/A
114,Texas St-San Marcos,(2-3),1423.85,1439,52,N/A
115,Georgia Tech,(1-4),1421.89,1451,42,N/A
116,Texas-San Antonio,(2-3),1414.6,1405,96,N/A
117,UCLA,(1-5),1413.93,1543,3,N/A
118,Old Dominion,(1-4),1411.54,1412,87,N/A
119,Colorado St,(1-5),1401.14,1442,47,N/A
120,Northern Illinois,(1-4),1400.2,1414,86,N/A
121,Connecticut,(1-4),1396.69,1437,56,N/A
122,UNLV,(1-4),1396.62,1430,67,N/A
123,South Alabama,(1-5),1375.5,1435,62,N/A
124,UTEP,(1-4),1375.01,1392,110,N/A
125,Bowling Green,(1-4),1373.25,1435,62,N/A
126,Rice,(0-6),1372.36,1547,2,N/A
127,Massachusetts,(1-5),1366.13,1394,107,N/A
128,New Mexico St,(0-6),1365.03,1460,36,N/A
129,Akron,(0-5),1362.88,1484,26,N/A
