Rank,Team,Record,ELO,SoS,SoS Rank,Change
39,Southern Cal,(3-1),1550.27,1515,16,N/A
40,Utah,(3-1),1546.69,1392,72,N/A
41,SMU,(4-0),1545.59,1464,33,N/A
42,Cincinnati,(2-1),1545.51,1502,20,N/A
43,TCU,(2-1),1545.51,1380,91,N/A
44,Memphis,(3-0),1545.05,1337,116,N/A
45,Minnesota,(3-0),1543.81,1362,106,N/A
46,Boston College,(3-1),1543.35,1385,83,N/A
47,Troy,(2-1),1540.64,1302,126,N/A
48,Alabama-Birmingham,(3-0),1536.03,1266,128,N/A
49,Indiana,(3-1),1533.96,1386,81,N/A
50,Syracuse,(2-2),1528.67,1449,36,N/A
51,Arizona St,(3-1),1527.19,1388,79,N/A
52,Wyoming,(3-1),1523.43,1381,90,N/A
53,Tulane,(3-1),1517.53,1400,63,N/A
54,Duke,(2-1),1517.5,1398,65,N/A
55,Mississippi,(2-2),1512.61,1417,47,N/A
56,San Diego St,(3-1),1509.96,1357,108,N/A
57,Texas Tech,(2-1),1509.79,1326,122,N/A
58,Fresno St,(1-2),1508.51,1396,68,N/A
59,Northwestern,(1-2),1508.05,1503,19,N/A
60,Coastal Carolina,(3-1),1505.8,1351,113,N/A
61,Arizona,(2-1),1504.7,1366,102,N/A
62,Miami FL,(2-2),1503.72,1399,64,N/A
63,Temple,(2-1),1502.31,1369,99,N/A
64,Illinois,(2-2),1502.07,1447,38,N/A
65,Purdue,(1-2),1501.24,1498,22,N/A
66,Florida St,(2-2),1501.0,1520,12,N/A
67,Colorado,(3-1),1500.89,1494,24,N/A
68,Air Force,(2-1),1499.82,1392,72,N/A
69,Louisiana Tech,(3-1),1499.18,1373,97,N/A
70,Virginia Tech,(2-1),1499.13,1346,115,N/A
71,Marshall,(2-1),1496.75,1385,83,N/A
72,Kansas,(2-2),1495.3,1413,54,N/A
73,Louisiana-Lafayette,(3-1),1490.19,1311,124,N/A
74,Georgia Southern,(1-2),1488.94,1423,44,N/A
75,Navy,(2-0),1488.67,1251,129,N/A
76,Pittsburgh,(2-2),1485.81,1558,6,N/A
77,Nevada,(3-1),1485.35,1385,83,N/A
78,Brigham Young,(2-2),1483.67,1550,7,N/A
79,Stanford,(1-3),1481.9,1562,5,N/A
80,Eastern Michigan,(3-1),1480.87,1417,47,N/A
81,South Carolina,(1-3),1479.74,1466,32,N/A
82,Arkansas,(2-2),1479.43,1368,100,N/A
83,Toledo,(2-1),1476.13,1354,110,N/A
84,Hawai`i,(3-1),1475.7,1414,52,N/A
85,North Texas,(2-2),1473.08,1384,87,N/A
86,Georgia Tech,(1-2),1470.79,1405,60,N/A
87,Arkansas St,(2-2),1470.54,1418,46,N/A
88,North Carolina,(2-2),1465.35,1535,10,N/A
89,Tennessee,(1-3),1465.21,1410,55,N/A
90,Buffalo,(2-2),1465.0,1336,119,N/A
91,Louisville,(2-2),1463.42,1404,61,N/A
92,Florida Atlantic,(2-2),1460.8,1440,40,N/A
93,Ohio U.,(1-3),1456.63,1391,75,N/A
94,Southern Miss,(2-2),1454.95,1477,30,N/A
95,Rutgers,(1-2),1454.58,1492,25,N/A
96,UNC-Charlotte,(2-2),1454.26,1434,41,N/A
97,Vanderbilt,(0-3),1454.13,1601,1,N/A
98,South Florida,(1-2),1450.68,1383,88,N/A
99,Western Michigan,(2-2),1449.86,1415,50,N/A
100,New Mexico,(2-1),1445.92,1353,111,N/A
101,Middle Tennessee St,(1-2),1444.0,1401,62,N/A
102,Oregon St,(1-2),1443.97,1380,91,N/A
103,Tulsa,(2-2),1442.35,1528,11,N/A
104,Houston,(1-3),1442.2,1458,35,N/A
105,San José St,(2-1),1435.69,1333,120,N/A
106,Louisiana-Monroe,(1-2),1432.22,1388,79,N/A
107,Georgia St,(2-2),1431.98,1347,114,N/A
108,Florida Int'l,(1-3),1429.92,1382,89,N/A
109,UCLA,(1-3),1424.04,1565,4,N/A
110,Kent St,(2-2),1423.23,1397,66,N/A
111,Miami OH,(1-3),1422.92,1480,29,N/A
112,East Carolina,(2-2),1421.38,1303,125,N/A
113,Western Kentucky,(1-2),1418.89,1355,109,N/A
114,Northern Illinois,(1-2),1416.87,1397,66,N/A
115,UNLV,(1-2),1410.18,1363,104,N/A
116,Central Michigan,(2-2),1409.48,1380,91,N/A
117,Old Dominion,(1-2),1406.6,1390,77,N/A
118,Colorado St,(1-3),1396.08,1386,81,N/A
119,Connecticut,(1-2),1391.36,1377,94,N/A
120,Ball St,(1-3),1382.86,1410,55,N/A
121,Texas St-San Marcos,(1-3),1379.95,1518,14,N/A
122,New Mexico St,(0-4),1372.5,1568,3,N/A
123,South Alabama,(1-3),1363.05,1427,43,N/A
124,UTEP,(1-2),1360.95,1364,103,N/A
125,Texas-San Antonio,(1-3),1358.15,1421,45,N/A
126,Rice,(0-4),1352.04,1571,2,N/A
127,Bowling Green,(1-3),1348.99,1396,68,N/A
128,Akron,(0-4),1339.13,1497,23,N/A
129,Massachusetts,(0-4),1337.39,1395,70,N/A
