Rank,Team,Record,ELO,SoS,SoS Rank,Change
85,Virginia Tech,(2-2),1467.92,1398,88,N/A
86,Georgia Southern,(1-3),1467.63,1449,39,N/A
87,Tennessee,(1-3),1467.42,1410,72,N/A
88,Navy,(2-1),1467.28,1358,121,N/A
89,Brigham Young,(2-3),1467.13,1532,11,N/A
90,Kansas,(2-3),1466.21,1447,41,N/A
91,North Carolina,(2-3),1465.13,1574,1,N/A
92,Louisville,(2-2),1463.96,1404,78,N/A
93,Ohio U.,(1-3),1459.49,1391,97,N/A
94,Louisiana-Monroe,(2-2),1452.64,1383,103,N/A
95,Miami OH,(2-3),1451.7,1480,26,N/A
96,Nevada,(3-2),1449.3,1410,72,N/A
97,Georgia Tech,(1-3),1446.58,1442,46,N/A
98,North Texas,(2-3),1444.02,1400,84,N/A
99,Western Kentucky,(2-2),1442.67,1383,103,N/A
100,Tulsa,(2-2),1442.21,1527,13,N/A
101,Buffalo,(2-3),1440.32,1365,116,N/A
102,Oregon St,(1-3),1436.04,1419,64,N/A
103,Georgia St,(2-2),1433.62,1348,122,N/A
104,Florida Int'l,(1-3),1433.18,1381,106,N/A
105,East Carolina,(3-2),1432.73,1315,127,N/A
106,Rutgers,(1-3),1429.57,1525,14,N/A
107,South Florida,(1-3),1429.27,1435,51,N/A
108,UNC-Charlotte,(2-3),1428.79,1449,39,N/A
109,Middle Tennessee St,(1-3),1424.42,1455,35,N/A
110,Kent St,(2-2),1423.31,1397,90,N/A
111,New Mexico,(2-2),1419.9,1297,129,N/A
112,UCLA,(1-4),1417.68,1553,3,N/A
113,San José St,(2-2),1414.16,1383,103,N/A
114,Northern Illinois,(1-3),1404.45,1417,66,N/A
115,Old Dominion,(1-3),1398.83,1386,99,N/A
116,Texas St-San Marcos,(2-3),1392.34,1436,50,N/A
117,UNLV,(1-3),1388.97,1405,77,N/A
118,Central Michigan,(2-3),1387.09,1401,82,N/A
119,Colorado St,(1-4),1386.28,1424,59,N/A
120,Ball St,(1-3),1385.1,1410,72,N/A
121,Connecticut,(1-3),1377.24,1438,48,N/A
122,Massachusetts,(1-4),1362.24,1372,112,N/A
123,Texas-San Antonio,(1-3),1361.68,1420,63,N/A
124,New Mexico St,(0-5),1360.5,1550,4,N/A
125,Bowling Green,(1-3),1353.35,1395,92,N/A
126,Rice,(0-5),1348.44,1563,2,N/A
127,South Alabama,(1-4),1346.46,1437,49,N/A
128,UTEP,(1-3),1343.13,1377,108,N/A
129,Akron,(0-5),1325.06,1469,32,N/A
