Rank,Team,Record,ELO,SoS,SoS Rank,Change
116,UNC-Charlotte,(2-5),1410.7,1462,43,N/A
117,UNLV,(2-5),1409.85,1436,81,N/A
118,Northern Illinois,(2-5),1409.67,1423,103,N/A
119,New Mexico,(2-5),1402.17,1372,127,N/A
120,Rutgers,(1-6),1400.76,1528,10,N/A
121,Bowling Green,(2-5),1391.57,1449,63,N/A
122,Old Dominion,(1-6),1385.57,1442,76,N/A
123,Connecticut,(1-6),1376.2,1457,48,N/A
124,Rice,(0-7),1373.26,1533,7,N/A
125,UTEP,(1-5),1371.83,1413,112,N/A
126,South Alabama,(1-6),1368.05,1447,67,N/A
127,New Mexico St,(0-7),1364.03,1453,57,N/A
128,Massachusetts,(1-6),1360.88,1405,119,N/A
129,Akron,(0-7),1338.7,1468,38,N/A
