Rank,Team,Record,ELO,SoS,SoS Rank,Change
115,East Carolina,(1-2),1411.31,1385,59,N/A
116,Colorado St,(1-2),1408.69,1367,74,N/A
117,UNLV,(1-2),1407.81,1362,81,N/A
118,UCLA,(0-3),1403.05,1565,4,N/A
119,Ball St,(1-2),1396.02,1358,86,N/A
120,Texas-San Antonio,(1-2),1387.11,1402,49,N/A
121,Kent St,(1-2),1386.21,1414,45,N/A
122,South Alabama,(1-2),1384.08,1392,55,N/A
123,Bowling Green,(1-2),1381.6,1373,70,N/A
124,UTEP,(1-1),1380.78,1318,113,N/A
125,New Mexico St,(0-3),1378.42,1598,1,N/A
126,Texas St-San Marcos,(0-3),1365.0,1548,6,N/A
127,Rice,(0-3),1360.46,1567,3,N/A
128,Massachusetts,(0-3),1355.66,1366,75,N/A
129,Akron,(0-3),1354.53,1488,27,N/A
