Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
141,Kansas,(3-9),1416.52,1547,15,N/A,Big 12,True
142,Maryland,(3-9),1415.49,1539,27,N/A,Big 10 East,True
143,Eastern Washington,(7-5),1414.97,1327,232,N/A,Big Sky,False
144,Florida Int'l,(6-6),1413.92,1415,138,N/A,CUSA East,False
145,Southern U.,(8-4),1413.33,1339,222,N/A,SWAC West,False
146,Toledo,(6-6),1411.84,1468,100,N/A,MAC West,False
147,Harvard,(4-6),1410.51,1417,135,N/A,Ivy League,False
148,The Citadel,(6-6),1409.41,1375,181,N/A,Southern,False
149,Youngstown St,(6-6),1407.88,1407,148,N/A,MVFC,False
150,Tennessee-Martin,(7-5),1407.28,1404,150,N/A,OVC,False
151,Grambling St,(6-5),1407.04,1338,223,N/A,SWAC West,False
152,Arizona,(4-8),1405.68,1525,47,N/A,PAC 12 South,True
153,South Dakota,(5-7),1403.28,1418,134,N/A,MVFC,False
154,Northern Illinois,(5-7),1402.01,1476,92,N/A,MAC West,False
155,Maine,(6-6),1401.76,1412,141,N/A,CAA,False
156,Cornell NY,(4-6),1401.3,1394,159,N/A,Ivy League,False
157,Bethune-Cookman,(7-4),1399.22,1334,226,N/A,MEAC,False
158,McNeese St,(7-5),1398.21,1395,157,N/A,Southland,False
159,East Carolina,(4-8),1396.27,1460,104,N/A,AAC East,False
160,Vanderbilt,(3-9),1394.87,1538,28,N/A,SEC East,True
161,Prairie View A&M,(6-5),1394.02,1311,244,N/A,SWAC West,False
162,Elon,(5-6),1392.84,1432,126,N/A,CAA,False
163,Sacred Heart,(7-5),1392.49,1313,242,N/A,NEC,False
164,Campbell,(6-5),1388.69,1354,205,N/A,Big South,False
165,Not FBS,(0-0),1387.89,1500,69,N/A,FCS,False
166,UNLV,(4-8),1387.31,1451,112,N/A,MW West,False
167,Stetson,(7-4),1386.64,1268,254,N/A,Pioneer,False
168,Holy Cross,(7-6),1386.18,1385,170,N/A,Patriot,False
169,LIU Post,(0-0),1385.62,1500,69,N/A,NEC,False
170,Robert Morris PA,(7-5),1385.61,1331,228,N/A,NEC,False
171,Georgia Tech,(3-9),1379.12,1547,15,N/A,ACC Coastal,True
172,Arkansas,(2-10),1378.65,1523,50,N/A,SEC West,True
173,Richmond,(5-7),1376.35,1419,133,N/A,CAA,False
174,Drake,(6-5),1376.34,1309,245,N/A,Pioneer,False
175,Indiana St,(5-7),1374.63,1396,155,N/A,MVFC,False
176,Chattanooga,(6-6),1374.23,1390,163,N/A,Southern,False
177,Middle Tennessee St,(4-8),1374.19,1439,122,N/A,CUSA East,False
178,UC-Davis,(5-7),1371.75,1413,139,N/A,Big Sky,False
179,Norfolk St,(5-7),1371.17,1338,223,N/A,MEAC,False
180,Pennsylvania,(5-5),1368.58,1408,147,N/A,Ivy League,False
181,Samford,(5-7),1367.97,1389,164,N/A,Southern,False
182,William & Mary,(5-7),1366.39,1417,135,N/A,CAA,False
183,Charleston Southern,(6-6),1362.5,1372,185,N/A,Big South,False
184,St Francis PA,(6-6),1361.03,1312,243,N/A,NEC,False
185,Jacksonville St,(6-6),1360.67,1379,177,N/A,OVC,False
186,Rutgers,(2-10),1359.97,1560,5,N/A,Big 10 East,True
187,Abilene Christian,(5-7),1355.01,1363,199,N/A,Southland,False
188,Idaho,(5-7),1351.66,1388,165,N/A,Big Sky,False
189,Duquesne,(6-5),1350.95,1325,233,N/A,NEC,False
190,North Texas,(4-8),1349.92,1411,142,N/A,CUSA West,False
191,Portland St,(5-7),1346.68,1331,228,N/A,Big Sky,False
192,Alabama A&M,(7-5),1345.57,1278,252,N/A,SWAC East,False
193,Stony Brook,(5-7),1344.58,1396,155,N/A,CAA,False
194,Texas St-San Marcos,(3-9),1344.11,1526,43,N/A,Sun Belt West,False
195,Delaware,(5-7),1341.45,1417,135,N/A,CAA,False
196,Georgetown DC,(5-6),1341.17,1296,249,N/A,Patriot,False
197,Arkansas-Pine Bluff,(6-5),1340.15,1274,253,N/A,SWAC West,False
198,South Alabama,(2-10),1337.79,1506,63,N/A,Sun Belt West,False
199,New Mexico St,(2-10),1336.11,1477,89,N/A,Independent,False
200,Connecticut,(2-10),1324.76,1477,89,N/A,AAC East,False
201,Alabama St,(5-6),1324.03,1341,221,N/A,SWAC East,False
202,Bowling Green,(3-9),1321.21,1475,94,N/A,MAC East,False
203,Tennessee Tech,(6-6),1320.78,1346,212,N/A,OVC,False
204,Brown,(2-8),1319.27,1402,152,N/A,Ivy League,False
205,New Mexico,(2-10),1318.11,1492,76,N/A,MW Mountain,False
206,Incarnate Word,(5-7),1317.18,1343,218,N/A,Southland,False
207,Rice,(3-9),1316.26,1449,115,N/A,CUSA West,False
208,VMI,(5-7),1315.54,1367,191,N/A,Southern,False
