Rank,Team,Record,ELO,SoS,SoS Rank,Change
115,Navy,(0-0),1446.81,1500,2,N/A
116,Tulsa,(0-0),1443.82,1500,2,N/A
117,Old Dominion,(0-0),1442.19,1500,2,N/A
118,Akron,(0-0),1435.52,1500,2,N/A
119,San José St,(0-0),1434.26,1500,2,N/A
120,Bowling Green,(0-0),1432.5,1500,2,N/A
121,Connecticut,(0-0),1430.48,1500,2,N/A
122,Kent St,(0-0),1428.26,1500,2,N/A
123,Texas St-San Marcos,(0-0),1427.25,1500,2,N/A
124,Texas-San Antonio,(0-0),1426.41,1500,2,N/A
125,Ball St,(0-0),1425.53,1500,2,N/A
126,South Alabama,(0-0),1420.25,1500,2,N/A
127,Rice,(0-0),1413.73,1500,2,N/A
128,Central Michigan,(0-0),1410.13,1500,2,N/A
129,UTEP,(0-0),1404.62,1500,2,N/A
