Rank,Team,Record,ELO,SoS,SoS Rank,Change
76,North Carolina St,(4-4),1488.85,1442,92,N/A
77,Texas Tech,(3-5),1487.98,1472,48,N/A
78,UCLA,(4-5),1487.62,1517,17,N/A
79,Fresno St,(4-4),1485.22,1443,87,N/A
80,California,(4-4),1484.8,1475,45,N/A
81,Utah St,(4-4),1484.55,1480,37,N/A
82,Florida Int'l,(5-4),1484.38,1405,126,N/A
83,Hawai`i,(5-4),1483.51,1454,72,N/A
84,Troy,(3-5),1483.36,1415,122,N/A
85,Coastal Carolina,(4-4),1481.48,1438,97,N/A
86,South Florida,(4-4),1481.47,1448,83,N/A
87,Arkansas St,(5-4),1480.09,1455,69,N/A
88,Purdue,(3-6),1477.48,1525,9,N/A
89,Ohio U.,(4-4),1476.08,1426,114,N/A
90,Colorado St,(4-5),1475.22,1422,116,N/A
91,West Virginia,(3-5),1472.67,1496,30,N/A
92,Army,(3-6),1471.51,1454,72,N/A
93,Maryland,(3-6),1465.78,1487,32,N/A
94,Ball St,(4-4),1465.5,1432,107,N/A
95,Toledo,(5-3),1464.74,1418,119,N/A
96,North Texas,(4-5),1461.43,1417,120,N/A
97,Kansas,(3-6),1460.47,1480,37,N/A
98,San José St,(4-5),1459.03,1443,87,N/A
99,Syracuse,(3-6),1457.23,1478,41,N/A
100,Miami OH,(4-4),1452.52,1464,56,N/A
101,Houston,(3-6),1451.72,1484,34,N/A
102,Nevada,(5-4),1449.2,1438,97,N/A
103,Arizona,(4-5),1448.19,1456,67,N/A
104,Arkansas,(2-7),1441.4,1487,32,N/A
105,UNC-Charlotte,(4-5),1438.75,1455,69,N/A
106,Kent St,(3-5),1438.55,1443,87,N/A
107,Louisiana-Monroe,(3-5),1437.43,1447,84,N/A
108,Middle Tennessee St,(3-6),1437.33,1463,59,N/A
109,Vanderbilt,(2-6),1436.09,1512,23,N/A
110,Colorado,(3-6),1435.36,1516,18,N/A
111,Eastern Michigan,(4-5),1433.38,1449,82,N/A
112,Northwestern,(1-7),1431.86,1544,3,N/A
113,Georgia Tech,(2-6),1425.81,1472,48,N/A
114,Tulsa,(2-7),1421.06,1547,1,N/A
115,East Carolina,(3-6),1418.23,1423,115,N/A
116,Northern Illinois,(3-6),1417.77,1428,113,N/A
117,Rutgers,(2-7),1414.5,1524,10,N/A
118,Texas-San Antonio,(3-5),1406.8,1429,112,N/A
119,Bowling Green,(3-6),1401.7,1438,97,N/A
120,UNLV,(2-7),1396.62,1455,69,N/A
121,Connecticut,(2-7),1393.37,1460,63,N/A
122,New Mexico,(2-7),1391.38,1441,94,N/A
123,Texas St-San Marcos,(2-6),1385.47,1474,46,N/A
124,New Mexico St,(0-8),1370.84,1516,18,N/A
125,Old Dominion,(1-8),1369.97,1453,76,N/A
126,South Alabama,(1-7),1369.89,1468,53,N/A
127,Rice,(0-9),1359.91,1520,14,N/A
128,UTEP,(1-7),1355.03,1430,110,N/A
129,Massachusetts,(1-8),1341.72,1407,125,N/A
130,Akron,(0-9),1315.94,1459,64,N/A
