game_id,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
42,0,Big East,183,"[7, 10, 6, 6]",29,0.9837022130079617,Syracuse,False,,Mid-American,2006,"[0, 3, 0, 0]",3,0.016297786992038366,Akron,302472006,False,2010,regular,2010-09-04T18:00:00.000Z,,Summa Field at InfoCision Stadium,3768.0,1
43,0,,257,"[7, 3, 3, 0]",13,0.01828313415833238,Richmond,False,,ACC,258,"[7, 7, 7, 13]",34,0.9817168658416676,Virginia,302470258,False,2010,regular,2010-09-04T18:00:00.000Z,,Scott Stadium,3923.0,1
44,0,,233,"[0, 7, 0, 0]",7,0.018498788913816067,South Dakota,False,,Conference USA,2116,"[14, 10, 7, 7]",38,0.9815012110861839,UCF,302472116,False,2010,regular,2010-09-04T18:00:00.000Z,,Bright House Networks Stadium,3652.0,1
45,0,,2630,"[0, 0, 0, 0]",0,0.011749844158074563,UT Martin,False,,SEC,2633,"[13, 7, 23, 7]",50,0.9882501558419254,Tennessee,302472633,False,2010,regular,2010-09-04T18:00:00.000Z,,Neyland Stadium,3853.0,1
46,0,,16,"[7, 0, 7, 3]",17,5.596244670535988e-05,Sacramento State,False,,Pac-10,24,"[21, 17, 7, 7]",52,0.9999440375532946,Stanford,302470024,False,2010,regular,2010-09-04T18:30:00.000Z,,Stanford Stadium,3940.0,1
47,0,Western Athletic,23,"[3, 0, 0, 0]",3,0.0003583339226170823,San José State,False,,SEC,333,"[14, 17, 10, 7]",48,0.9996416660773829,Alabama,302470333,False,2010,regular,2010-09-04T19:00:00.000Z,,Bryant Denny Stadium,3657.0,1
48,0,Western Athletic,328,"[0, 10, 14, 0]",24,0.471362302410241,Utah State,False,,Big 12,201,"[14, 7, 10, 0]",31,0.528637697589759,Oklahoma,302470201,False,2010,regular,2010-09-04T19:00:00.000Z,,Gaylord Family Oklahoma Memorial Stadium,3835.0,1
49,0,Sun Belt,98,"[0, 0, 3, 7]",10,0.0033412525420207784,Western Kentucky,False,,Big 12,158,"[14, 7, 14, 14]",49,0.9966587474579792,Nebraska,302470158,False,2010,regular,2010-09-04T19:00:00.000Z,,Memorial Stadium,3834.0,1
50,0,,2635,"[3, 0, 0, 0]",3,0.004517566822783925,Tennessee Tech,False,,SEC,8,"[0, 23, 21, 0]",44,0.9954824331772161,Arkansas,302470008,False,2010,regular,2010-09-04T19:00:00.000Z,,Donald W. Reynolds Razorback Stadium Frank Broyles Field,3887.0,1
51,0,Sun Belt,2032,"[6, 10, 7, 3]",26,0.0041500264627710726,Arkansas State,False,,SEC,2,"[14, 21, 10, 7]",52,0.9958499735372289,Auburn,302470002,False,2010,regular,2010-09-04T19:00:00.000Z,,Jordan-Hare Stadium,3785.0,1
