,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
66,Utah State,1589.56,2019,1612.41,Kent State,(51 - **41**) L,-35.16,(7 - 6),(6 - 6),Mountain West,Mountain,,True
67,UAB,1586.93,2019,1546.16,Appalachian State,(**17** - 31) L,-15.62,(9 - 5),(6 - 5),Conference USA,West,uab,True
68,Syracuse,1584.52,2019,1633.4,Wake Forest,(**39** - 30) W,33.1,(5 - 7),(2 - 7),ACC,Atlantic,syracuse,True
69,Miami,1579.12,2019,1595.49,Louisiana Tech,(**0** - 14) L,-32.66,(6 - 7),(4 - 7),ACC,Coastal,miami,True
70,Georgia Southern,1578.99,2019,1597.39,Liberty,(**16** - 23) L,-28.36,(7 - 6),(5 - 6),Sun Belt,,georgiasouthern,True
71,TCU,1573.81,2019,1652.65,West Virginia,(**17** - 20) L,-21.18,(5 - 7),(3 - 7),Big 12,,tcu,True
72,Troy,1573.63,2019,1602.34,Appalachian State,(**13** - 48) L,-23.87,(5 - 7),(3 - 7),Sun Belt,,troy,True
73,Western Michigan,1571.99,2019,1563.19,Western Kentucky,(**20** - 23) L,-16.37,(7 - 6),(5 - 6),Mid-American,West,westernmichigan,True
74,Southern Mississippi,1562.56,2019,1604.31,Tulane,(30 - **13**) L,-31.99,(7 - 6),(5 - 6),Conference USA,West,southernmiss,True
75,Miami (OH),1560.11,2019,1570.72,Louisiana,(**17** - 27) L,-19.6,(8 - 6),(7 - 6),Mid-American,East,,True
76,Duke,1542.84,2019,1636.45,Miami,(**27** - 17) W,35.32,(5 - 7),(3 - 7),ACC,Coastal,duke,True
77,South Carolina,1537.06,2019,1712.77,Clemson,(**3** - 38) L,-10.21,(4 - 8),(3 - 8),SEC,East,southcarolina,True
78,Fresno State,1535.12,2019,1557.5,San José State,(17 - **16**) L,-9.91,(4 - 8),(2 - 8),Mountain West,West,fresnostate,True
79,Central Michigan,1533.07,2019,1556.94,San Diego State,(48 - **11**) L,-28.38,(8 - 6),(6 - 6),Mid-American,West,centralmichigan,True
80,West Virginia,1529.56,2019,1676.12,TCU,(17 - **20**) W,21.18,(5 - 7),(3 - 7),Big 12,,westvirginia,True
81,Houston,1529.32,2019,1663.69,Navy,(**41** - 56) L,-26.34,(4 - 8),(2 - 8),American Athletic,West,houston,True
82,Kent State,1523.17,2019,1583.1,Utah State,(**51** - 41) W,35.16,(7 - 6),(5 - 6),Mid-American,East,,True
