Butler,1181.65,Pioneer,FALSE,REPLACE_ME,False
Lehigh,1176.96,Patriot,FALSE,REPLACE_ME,False
Valparaiso,1173.67,Pioneer,FALSE,REPLACE_ME,False
Western Carolina,1167.03,Southern,FALSE,REPLACE_ME,False
Alabama St,1165.56,SWAC East,FALSE,REPLACE_ME,False
Fordham,1164.54,Patriot,FALSE,REPLACE_ME,False
Stephen F. Austin,1163.64,Southland,FALSE,REPLACE_ME,False
Morehead St,1159.51,Pioneer,FALSE,REPLACE_ME,False
Rice,1159.19,CUSA West,FALSE,REPLACE_ME,True
Northern Colorado,1157.5,Big Sky,FALSE,REPLACE_ME,False
Jacksonville FL,1153.43,Pioneer,FALSE,REPLACE_ME,False
Lafayette,1151.46,Patriot,FALSE,REPLACE_ME,False
Arkansas-Pine Bluff,1148.63,SWAC West,FALSE,REPLACE_ME,False
Presbyterian,1148,Big South,FALSE,REPLACE_ME,False
Texas Southern,1144.63,SWAC West,FALSE,REPLACE_ME,False
Southern Utah,1140.46,Big Sky,FALSE,REPLACE_ME,False
Sacramento St,1136.74,Big Sky,FALSE,REPLACE_ME,False
UTEP,1131.07,CUSA West,FALSE,UTEP,True
Brown,1129.42,Ivy League,FALSE,REPLACE_ME,False
VMI,1123.47,Southern,FALSE,REPLACE_ME,False
Robert Morris PA,1120.28,NEC,FALSE,REPLACE_ME,False
Missouri Valley,1117.5,SWAC East,FALSE,REPLACE_ME,False
Bucknell,1104.71,Patriot,FALSE,REPLACE_ME,False
Houston Baptist,1103.11,Southland,FALSE,REPLACE_ME,False
Tennessee Tech,1076.52,OVC,FALSE,REPLACE_ME,False
Not D1,1100,CFB,FALSE,REPLACE_ME,False
